dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
2.5,0.0107,0.5353,,,APEX
2.5,0.0109,0.5353,,,APEX
2.5,0.0105,0.5353,,,APEX
2.5,0.0086,0.5353,,,APEX
2.5,0.0088,0.5353,,,APEX
2.5,0.0094,0.52970004,,,APEX
2.5,0.0092,0.52970004,,,APEX
2.5,0.0095999995,0.52970004,,,APEX
2.0,0.0077,0.52970004,,,APEX
2.0,0.007900001,0.52970004,,,APEX
2.0,0.0081,0.52970004,,,APEX
2.0,0.008,0.52970004,,,APEX
2.0,0.0084,0.52970004,,,APEX
2.0,0.0082,0.52970004,,,APEX
2.0,0.0075,0.52970004,,,APEX
