dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
6.0,0.0614,0.2602,,,MANAKSIA
6.0,0.0614,0.2602,3.0,2023-09-14,MANAKSIA
6.0,0.0619,0.2602,3.0,2023-09-14,MANAKSIA
6.0,0.060399998,0.2602,3.0,2023-09-14,MANAKSIA
6.0,0.0621,0.2602,3.0,2023-09-14,MANAKSIA
6.0,0.0621,0.2602,,,MANAKSIA
6.0,0.0624,0.2602,3.0,2023-09-14,MANAKSIA
6.0,0.0623,0.2602,3.0,2023-09-14,MANAKSIA
6.0,0.0633,0.2786,3.0,2023-09-14,MANAKSIA
6.0,0.061,0.2786,3.0,2023-09-14,MANAKSIA
6.0,0.0636,0.2786,3.0,2023-09-14,MANAKSIA
6.0,0.0585,0.2786,3.0,2023-09-14,MANAKSIA
6.0,0.0585,0.2786,3.0,2023-09-14,MANAKSIA
