dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
3.5,0.0134000005,0.2598,,,NLCINDIA
3.5,0.012200001,0.2598,1.5,2024-02-16,NLCINDIA
3.5,0.012999999,0.2598,1.5,2024-02-16,NLCINDIA
3.5,0.0124,0.2598,1.5,2024-02-16,NLCINDIA
3.5,0.0125,0.2598,1.5,2024-02-16,NLCINDIA
3.5,0.013200001,0.2401,1.5,2024-02-16,NLCINDIA
3.5,0.0135,0.2401,1.5,2024-02-16,NLCINDIA
3.5,0.0127,0.2401,1.5,2024-02-16,NLCINDIA
3.0,0.0111,0.2401,1.5,2024-09-18,NLCINDIA
3.0,0.0114,0.2401,1.5,2024-09-17,NLCINDIA
3.0,0.0104,0.2401,1.5,2024-09-17,NLCINDIA
3.0,0.0109,0.2401,1.5,2024-09-17,NLCINDIA
3.0,0.0113,0.2401,1.5,2024-09-17,NLCINDIA
3.0,0.0115,0.2401,1.5,2024-09-17,NLCINDIA
