dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
1.0,0.0039,0.0585,0.5,2024-05-30,LTFOODS
1.0,0.0036000002,0.0585,0.5,2024-05-30,LTFOODS
1.0,0.0034999999,0.0585,0.5,2024-05-30,LTFOODS
1.0,0.0034,0.0585,0.5,2024-05-30,LTFOODS
2.5,0.0081,0.0855,0.5,2024-05-30,LTFOODS
2.5,0.0081,0.0855,,,LTFOODS
2.5,0.0081,0.0855,0.5,2024-08-06,LTFOODS
2.5,0.008,0.0855,0.5,2024-08-06,LTFOODS
2.5,0.0069,0.0855,0.5,2024-08-06,LTFOODS
2.5,0.0066000004,0.0855,0.5,2024-08-06,LTFOODS
2.5,0.0062,0.0855,0.5,2024-08-06,LTFOODS
2.5,0.0061000003,0.0855,0.5,2024-08-06,LTFOODS
2.5,0.0058999998,0.0855,1.0,2024-09-17,LTFOODS
2.5,0.0063,0.0855,1.0,2024-09-17,LTFOODS
2.5,0.0064,0.0855,1.0,2024-09-17,LTFOODS
2.5,0.0062,0.0855,1.0,2024-09-17,LTFOODS
2.5,0.006,0.0855,1.0,2024-09-17,LTFOODS
