earningsGrowth,revenueGrowth,symbol,Date
-0.089,-0.177,TRIVENI,2024-07-07
-0.089,-0.177,TRIVENI,2024-07-13
-0.089,-0.177,TRIVENI,2024-07-20
-0.089,-0.177,TRIVENI,2024-07-27
-0.089,-0.177,TRIVENI,2024-08-03
-0.54,0.086,TRIVENI,2024-08-10
-0.54,0.086,TRIVENI,2024-08-17
-0.54,0.086,TRIVENI,2024-08-24
-0.54,0.086,TRIVENI,2024-09-01
-0.54,0.086,TRIVENI,2024-09-08
-0.54,0.086,TRIVENI,2024-09-15
-0.54,0.086,TRIVENI,2024-09-21
-0.54,0.086,TRIVENI,2024-09-28
-0.54,0.086,TRIVENI,2024-10-05
-0.54,0.086,TRIVENI,2024-10-12
-0.54,0.086,TRIVENI,2024-10-19
