dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
0.25,0.0011,0.088,,,MBAPL
0.25,0.0011,0.088,0.25,2023-09-18,MBAPL
0.25,0.0011,0.0753,,,MBAPL
0.25,0.0011,0.0753,0.25,2023-09-18,MBAPL
0.5,0.0023,0.0753,0.5,2024-09-13,MBAPL
0.5,0.0023,0.0753,,,MBAPL
0.5,0.0023999999,0.0753,0.5,2024-09-13,MBAPL
0.5,0.0022,0.0753,0.5,2024-09-13,MBAPL
