dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
6.2,0.028800001,0.4618,6.2,2024-07-05,REDINGTON
6.2,0.0296,0.4618,6.2,2024-07-05,REDINGTON
6.2,0.0312,0.4618,6.2,2024-07-05,REDINGTON
6.2,0.0292,0.4618,6.2,2024-07-05,REDINGTON
6.2,0.0306,0.3985,6.2,2024-07-05,REDINGTON
6.2,0.0326,0.3985,6.2,2024-07-05,REDINGTON
6.2,0.031,0.3985,6.2,2024-07-05,REDINGTON
6.2,0.0297,0.3985,6.2,2024-07-05,REDINGTON
6.2,0.0307,0.3985,6.2,2024-07-05,REDINGTON
6.2,0.0312,0.3985,6.2,2024-07-05,REDINGTON
6.2,0.0325,0.3985,6.2,2024-07-05,REDINGTON
6.2,0.0324,0.3985,6.2,2024-07-05,REDINGTON
6.2,0.0332,0.3985,6.2,2024-07-05,REDINGTON
6.2,0.0336,0.3985,6.2,2024-07-05,REDINGTON
6.2,0.0356,0.3985,6.2,2024-07-05,REDINGTON
