dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
2.4,0.015700001,0.1342,,,SMCGLOBAL
2.4,0.0150999995,0.1342,,,SMCGLOBAL
2.4,0.0159,0.1342,,,SMCGLOBAL
2.4,0.0152,0.1342,,,SMCGLOBAL
2.4,0.0161,0.1342,,,SMCGLOBAL
2.4,0.0163,0.1342,,,SMCGLOBAL
2.4,0.0167,0.1342,,,SMCGLOBAL
2.4,0.016,0.1342,,,SMCGLOBAL
2.4,0.0164,0.1342,,,SMCGLOBAL
2.4,0.0165,0.1342,,,SMCGLOBAL
2.4,0.015,0.1342,,,SMCGLOBAL
2.4,0.0149,0.1342,,,SMCGLOBAL
2.4,0.0163,0.1195,,,SMCGLOBAL
2.4,0.016,0.1195,,,SMCGLOBAL
2.4,0.0149,0.1195,,,SMCGLOBAL
