earningsGrowth,revenueGrowth,symbol,Date
12.045,0.511,TRENT,2024-07-07
12.045,0.511,TRENT,2024-07-13
12.045,0.511,TRENT,2024-07-20
12.045,0.511,TRENT,2024-07-27
12.045,0.511,TRENT,2024-08-03
12.045,0.511,TRENT,2024-08-10
1.262,0.562,TRENT,2024-08-17
1.262,0.562,TRENT,2024-08-24
1.262,0.562,TRENT,2024-09-01
1.262,0.562,TRENT,2024-09-08
1.262,0.562,TRENT,2024-09-15
1.262,0.562,TRENT,2024-09-21
1.262,0.562,TRENT,2024-09-28
1.262,0.562,TRENT,2024-10-05
1.262,0.562,TRENT,2024-10-12
1.262,0.562,TRENT,2024-10-19
