dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
8.0,0.030299999,0.7346,,,BAJAJCON
8.0,0.03,0.7346,,,BAJAJCON
8.0,0.0297,0.7346,,,BAJAJCON
8.0,0.0291,0.7346,,,BAJAJCON
8.0,0.0304,0.7346,,,BAJAJCON
8.0,0.0295,0.7346,,,BAJAJCON
8.0,0.0291,0.78050005,,,BAJAJCON
8.0,0.0294,0.78050005,,,BAJAJCON
8.0,0.030299999,0.78050005,,,BAJAJCON
8.0,0.0298,0.78050005,,,BAJAJCON
8.0,0.03,0.78050005,,,BAJAJCON
8.0,0.032,0.78050005,,,BAJAJCON
8.0,0.0321,0.78050005,,,BAJAJCON
8.0,0.033299997,0.78050005,,,BAJAJCON
8.0,0.0348,0.78050005,,,BAJAJCON
8.0,0.0349,0.78050005,,,BAJAJCON
