earningsGrowth,revenueGrowth,symbol,Date
2.217,0.133,TATAMOTORS,2024-07-07
2.217,0.133,TATAMOTORS,2024-07-13
2.217,0.133,TATAMOTORS,2024-07-20
2.217,0.133,TATAMOTORS,2024-07-27
,0.057,TATAMOTORS,2024-08-03
,0.057,TATAMOTORS,2024-08-10
,0.057,TATAMOTORS,2024-08-17
,0.057,TATAMOTORS,2024-08-24
,0.057,TATAMOTORS,2024-09-01
,0.057,TATAMOTORS,2024-09-08
,0.057,TATAMOTORS,2024-09-15
,0.057,TATAMOTORS,2024-09-21
,0.057,TATAMOTORS,2024-09-28
,0.057,TATAMOTORS,2024-10-05
,0.057,TATAMOTORS,2024-10-12
,0.057,TATAMOTORS,2024-10-19
