dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
9.0,0.0047999998,0.3698,,,HAVELLS
9.0,0.0047,0.3698,,,HAVELLS
9.0,0.0047999998,0.4052,,,HAVELLS
9.0,0.0049,0.4052,,,HAVELLS
9.0,0.005,0.4052,,,HAVELLS
9.0,0.0047,0.4052,,,HAVELLS
9.0,0.0045,0.4052,,,HAVELLS
9.0,0.0044,0.4052,,,HAVELLS
9.0,0.0046,0.4052,,,HAVELLS
9.0,0.0049,0.4,,,HAVELLS
