dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
4.5,0.0078,0.2356,,,LUMAXTECH
4.5,0.0078,0.2356,4.5,2023-08-10,LUMAXTECH
4.5,0.0083,0.2356,4.5,2023-08-10,LUMAXTECH
4.5,0.0081,0.2356,4.5,2023-08-10,LUMAXTECH
4.5,0.0081,0.2356,,,LUMAXTECH
4.5,0.007900001,0.2356,4.5,2023-08-10,LUMAXTECH
4.5,0.007900001,0.2195,4.5,2023-08-10,LUMAXTECH
5.5,0.0105,0.2195,5.5,2024-09-09,LUMAXTECH
5.5,0.0106,0.2195,5.5,2024-09-09,LUMAXTECH
5.5,0.0095,0.2195,5.5,2024-09-09,LUMAXTECH
5.5,0.0095999995,0.2195,5.5,2024-09-09,LUMAXTECH
5.5,0.0099,0.2195,5.5,2024-09-09,LUMAXTECH
5.5,0.0097,0.2195,5.5,2024-09-09,LUMAXTECH
5.5,0.0097,0.2195,5.5,2024-09-09,LUMAXTECH
