dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
3.2,0.018099999,0.143,,,GOLDIAM
3.2,0.0177,0.143,,,GOLDIAM
3.2,0.0189,0.143,,,GOLDIAM
3.2,0.0165,0.143,,,GOLDIAM
3.2,0.0173,0.143,,,GOLDIAM
2.0,0.0101,0.143,,,GOLDIAM
2.0,0.0084,0.1354,,,GOLDIAM
2.0,0.0069999998,0.1354,,,GOLDIAM
2.0,0.0062,0.1354,,,GOLDIAM
2.0,0.006,0.1345,,,GOLDIAM
2.0,0.0052,0.1345,,,GOLDIAM
2.0,0.0058,0.1345,,,GOLDIAM
2.0,0.0055,0.1345,,,GOLDIAM
2.0,0.0058999998,0.1345,,,GOLDIAM
2.0,0.0056,0.1345,,,GOLDIAM
