earningsGrowth,revenueGrowth,symbol,Date
0.32,0.23,NEWGEN,2024-07-07
0.32,0.23,NEWGEN,2024-07-13
0.32,0.23,NEWGEN,2024-07-20
0.557,0.251,NEWGEN,2024-07-27
0.557,0.251,NEWGEN,2024-08-03
0.557,0.251,NEWGEN,2024-08-10
0.557,0.251,NEWGEN,2024-08-17
0.557,0.251,NEWGEN,2024-08-24
0.557,0.251,NEWGEN,2024-09-01
0.557,0.251,NEWGEN,2024-09-08
0.557,0.251,NEWGEN,2024-09-15
0.557,0.251,NEWGEN,2024-09-21
0.557,0.251,NEWGEN,2024-09-28
0.557,0.251,NEWGEN,2024-10-05
0.557,0.251,NEWGEN,2024-10-12
0.449,0.232,NEWGEN,2024-10-19
