dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
4.0,0.0069999998,0.086899996,,,SRHHYPOLTD
4.0,0.0064999997,0.086899996,,,SRHHYPOLTD
4.0,0.0062,0.086899996,,,SRHHYPOLTD
4.0,0.0066000004,0.086899996,,,SRHHYPOLTD
4.0,0.0069,0.086899996,,,SRHHYPOLTD
4.0,0.0070999996,0.086899996,,,SRHHYPOLTD
3.0,0.0050999997,0.0937,,,SRHHYPOLTD
3.0,0.005,0.0937,,,SRHHYPOLTD
3.0,0.0052,0.0937,,,SRHHYPOLTD
3.0,0.0053,0.0937,,,SRHHYPOLTD
3.0,0.0054,0.0937,,,SRHHYPOLTD
3.0,0.004,0.0937,,,SRHHYPOLTD
3.0,0.0039,0.0937,,,SRHHYPOLTD
3.0,0.0033000002,0.0937,,,SRHHYPOLTD
3.0,0.0036000002,0.0937,,,SRHHYPOLTD
