earningsGrowth,revenueGrowth,symbol,Date
0.619,0.694,INVENTURE,2024-07-07
0.619,0.694,INVENTURE,2024-07-13
0.619,0.694,INVENTURE,2024-07-20
7.0,0.199,INVENTURE,2024-07-27
7.0,0.199,INVENTURE,2024-08-03
7.0,0.199,INVENTURE,2024-08-10
7.0,0.199,INVENTURE,2024-08-17
7.0,0.199,INVENTURE,2024-08-24
7.0,0.199,INVENTURE,2024-09-01
7.0,0.199,INVENTURE,2024-09-08
7.0,0.199,INVENTURE,2024-09-15
7.0,0.199,INVENTURE,2024-09-21
7.0,0.199,INVENTURE,2024-09-28
7.0,0.199,INVENTURE,2024-10-05
7.0,0.199,INVENTURE,2024-10-12
7.0,0.199,INVENTURE,2024-10-19
