earningsGrowth,revenueGrowth,symbol,Date
0.339,0.291,INDOUS,2024-09-28
0.339,0.291,INDOUS,2024-10-05
0.339,0.291,INDOUS,2024-10-12
0.339,0.291,INDOUS,2024-10-19
