dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
0.25,0.0043,3.4483,,,ORIENTPPR
0.25,0.0044,3.4483,0.25,2024-07-26,ORIENTPPR
0.25,0.0046,3.4483,0.25,2024-07-26,ORIENTPPR
0.25,0.0047,3.4483,0.25,2024-07-26,ORIENTPPR
0.25,0.0047999998,3.4483,0.25,2024-07-26,ORIENTPPR
0.25,0.0050999997,3.4483,0.25,2024-07-26,ORIENTPPR
0.25,0.0054,3.4483,0.25,2024-07-26,ORIENTPPR
0.25,0.0052,3.4483,0.25,2024-07-26,ORIENTPPR
0.25,0.0053,3.4483,0.25,2024-07-26,ORIENTPPR
0.25,0.0056,3.4483,0.25,2024-07-26,ORIENTPPR
