dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
18.0,0.0062,0.5575,,,LALPATHLAB
18.0,0.0061000003,0.5575,6.0,2024-06-10,LALPATHLAB
18.0,0.006,0.5575,6.0,2024-06-10,LALPATHLAB
18.0,0.0058,0.5575,6.0,2024-06-10,LALPATHLAB
18.0,0.0058,0.5575,,,LALPATHLAB
12.0,0.0037,0.65389997,6.0,2024-08-20,LALPATHLAB
12.0,0.0036000002,0.65389997,6.0,2024-08-20,LALPATHLAB
12.0,0.0034999999,0.65389997,6.0,2024-08-20,LALPATHLAB
12.0,0.0034,0.65389997,6.0,2024-08-20,LALPATHLAB
12.0,0.0036000002,0.65389997,6.0,2024-08-20,LALPATHLAB
