dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
0.8,0.0032,0.1835,,,BIGBLOC
0.8,0.0029,0.1835,,,BIGBLOC
0.8,0.003,0.1835,,,BIGBLOC
1.2,0.0044,0.1835,,,BIGBLOC
1.2,0.0047,0.1835,,,BIGBLOC
1.2,0.0046,0.1835,,,BIGBLOC
1.2,0.0047999998,0.19370002,,,BIGBLOC
1.2,0.005,0.19370002,,,BIGBLOC
1.2,0.0049,0.19370002,,,BIGBLOC
0.6,0.0044,0.19370002,,,BIGBLOC
0.6,0.0047,0.19370002,,,BIGBLOC
0.6,0.0049,0.19370002,,,BIGBLOC
0.6,0.0052,0.19370002,,,BIGBLOC
0.6,0.0047999998,0.19370002,,,BIGBLOC
0.6,0.0045,0.19370002,,,BIGBLOC
