symbol,name,country,currency,exchange,mic_code,added_date,deleted_date
ALLCAP,S&P BSE ALLCAP,India,INR,BSE,XBOM,2023-09-25,
BASMTR,S&P BSE BASIC MATERIALS,India,INR,BSE,XBOM,2023-09-25,
BHRT22,S&P BSE Bharat 22 Index,India,INR,BSE,XBOM,2023-09-25,
BSE.100,S&P BSE 100 INDEX,India,INR,BSE,XBOM,2023-09-25,
BSE.200,S&P BSE 200 INDEX,India,INR,BSE,XBOM,2023-09-25,
BSE.500,S&P BSE 500 INDEX,India,INR,BSE,XBOM,2023-09-25,
BSE.AUTO,S&P BSE AUTO INDEX,India,INR,BSE,XBOM,2023-09-25,
BSE.BANK,S&P BSE BANKEX,India,INR,BSE,XBOM,2023-09-25,
BSE.CARBONEX,S&P BSE-CARBON INDEX,India,INR,BSE,XBOM,2023-09-25,
BSE.CD,S&P BSE CONS.DURABLES INDEX,India,INR,BSE,XBOM,2023-09-25,
BSE.CG,S&P BSE CAPITAL GOODS INDEX,India,INR,BSE,XBOM,2023-09-25,
BSEDSI,S&P BSE Dividend Stability Inde,India,INR,BSE,XBOM,2023-09-25,
BSEEVI,S&P BSE Enhanced Value Index,India,INR,BSE,XBOM,2023-09-25,
BSE.FMCG,S&P BSE FMCG INDEX,India,INR,BSE,XBOM,2023-09-25,
BSE.GREENEX,S&P BSE-GREENEX,India,INR,BSE,XBOM,2023-09-25,
BSE.HC,S&P BSE HEALTH CARE INDEX,India,INR,BSE,XBOM,2023-09-25,
BSE.IPO,S&P BSE IPO INDEX,India,INR,BSE,XBOM,2023-09-25,
BSE.IT,S&P BSE INFOTECH INDEX,India,INR,BSE,XBOM,2023-09-25,
BSELVI,S&P BSE Low Volatility Index,India,INR,BSE,XBOM,2023-09-25,
BSE.METAL,S&P BSE METAL INDEX,India,INR,BSE,XBOM,2023-09-25,
BSE.MIDCAP,S&P BSE MIDCAP INDEX,India,INR,BSE,XBOM,2023-09-25,
BSEMOI,S&P BSE Momentum Index,India,INR,BSE,XBOM,2023-09-25,
BSE.OILGAS,S&P BSE OIL&GAS INDEX,India,INR,BSE,XBOM,2023-09-25,
BSE.PR.OWER,S&P BSE POWER INDEX,India,INR,BSE,XBOM,2023-09-25,
BSE.PR.SU,S&P BSE PUBLIC SECTOR INDEX,India,INR,BSE,XBOM,2023-09-25,
BSEQUI,S&P BSE Quality Index,India,INR,BSE,XBOM,2023-09-25,
BSE.REALTY,S&P BSE REALTY INDEX,India,INR,BSE,XBOM,2023-09-25,
BSE.SMEIPO,S&P BSE SMALL AND MEDIUM ENTERP,India,INR,BSE,XBOM,2023-09-25,
BSE.SMLCAP,S&P BSE SMALLCAP INDEX,India,INR,BSE,XBOM,2023-09-25,
BSESN,S&P BSE SENSEX,India,INR,BSE,XBOM,2023-09-25,
BSE.TECK,S&P BSE TECK INDEX,India,INR,BSE,XBOM,2023-09-25,
CDGS,S&P BSE CONSUMER DISCRETIONARY ,India,INR,BSE,XBOM,2023-09-25,
CPSE,S&P BSE CPSE INDEX,India,INR,BSE,XBOM,2023-09-25,
DFRGRI,S&P BSE Diversified Financials ,India,INR,BSE,XBOM,2023-09-25,
DOLLEX100,S&P BSE DOLLEX-100,India,USD,BSE,XBOM,2023-09-25,
DOLLEX200,S&P BSE DOLLEX-200,India,USD,BSE,XBOM,2023-09-25,
DOLLEX30,S&P BSE DOLLEX-30,India,USD,BSE,XBOM,2023-09-25,
ENERGY,Energy Development Co. Ltd.,India,INR,BSE,XBOM,2023-09-25,
ESG100,S&P BSE 100 ESG Index,India,INR,BSE,XBOM,2023-09-25,
FIN,S&P BSE FINANCE,India,INR,BSE,XBOM,2023-09-25,
INDSTR,S&P BSE INDUSTRIALS,India,INR,BSE,XBOM,2023-09-25,
INFRASTRUCTURE,S&P BSE INDIA INFRASTRUCTURE IN,India,INR,BSE,XBOM,2023-09-25,
LCTMCI,S&P BSE 100 LargeCap TMC Index,India,INR,BSE,XBOM,2023-09-25,
LMI250,S&P BSE 250 LargeMidCap Index,India,INR,BSE,XBOM,2023-09-25,
LRGCAP,S&P BSE LARGECAP,India,INR,BSE,XBOM,2023-09-25,
MFG,S&P BSE INDIA MANUFACTURING IND,India,INR,BSE,XBOM,2023-09-25,
MID150,S&P BSE 150 MidCap Index,India,INR,BSE,XBOM,2023-09-25,
MIDSEL,S&P BSE MIDCAP SELECT INDEX,India,INR,BSE,XBOM,2023-09-25,
MSL400,S&P BSE 400 MidSmallCap Index,India,INR,BSE,XBOM,2023-09-25,
SML250,S&P BSE 250 SmallCap Index,India,INR,BSE,XBOM,2023-09-25,
SMLSEL,S&P BSE SMALLCAP SELECT INDEX,India,INR,BSE,XBOM,2023-09-25,
SNSX50,S&P BSE SENSEX 50 Index,India,INR,BSE,XBOM,2023-09-25,
SNXT50,S&P BSE SENSEX Next 50 Index,India,INR,BSE,XBOM,2023-09-25,
TELCOM,S&P BSE TELECOM,India,INR,BSE,XBOM,2023-09-25,
UTILS,S&P BSE UTILITIES,India,INR,BSE,XBOM,2023-09-25,
