symbol,name,currency,exchange,mic_code,country,type,added_date,deleted_date,figi_code
08GPG,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
08MPD,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
11AGG,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
11AMD,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
11DPD,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
11DPR,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
11GPG,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
11MPD,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
11MPR,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
11QPD,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
1STCUS,The First Custodian Fund ,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
20MICRONS,20 Microns Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
21STCENMGM,Twentyfirst Century Management Services Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
360ONE,360 ONE WAM LIMITED,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
3IINFOTECH,3i Infotech Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,2024-10-19,
3MINDIA,3M India Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
3PLAND,3P LAND HOLDINGS LTD.,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
4IG,4iG Nyrt.,HUF,BSE,XBUD,Hungary,Common Stock,2023-09-25,,
4THGEN,Fourth Generation Information Systems Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
5PAISA,5paisa Capital Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
63MOONS,63 moons technologies limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
7NR,7NR Retail Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
7SEASL,7SEAS ENTERTAINMENT LIMITED,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
7TEC,Saven Technologies Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
A2ZINFRA,A2Z Infra Engineering Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AAATECH,AAA TECHNOLOGIES LIMITED,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AADIIND,Aadi Industries Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AAIL,Akar Auto Industries Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AAL,A-1 Acid Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AANANDALAK,Aananda Lakshmi Spinning Mills Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AANCHALISP,Aanchal Ispat Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AAPLUSTRAD,AA Plus Tradelink Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AARNAV,AARNAV FASHIONS LIMITED,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AARTECH,Aartech Solonics Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AARTIDRUGS,Aarti Drugs Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AARTIIND,Aarti Industries Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AARTIPHARM,Aarti Pharmalabs Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AARTIPP,Aarti Surfactants Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,2024-10-19,
AARTISURF,Aarti Surfactants Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AARVEEDEN,Aarvee Denims and Exports Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AASHKA,Aashka Hospitals Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AASTAFIN,Aastamangalam Finance Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AAVAS,AAVAS Financiers Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
AAYUSH,Aayush Food and Herbs Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ABAN,Aban Offshore Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ABANSENT,ABans Enterprises Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ABATEAS,ABATE AS INDUSTRIES LIMITED,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ABB,ABB India Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ABBOTINDIA,Abbott India Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ABCAPITAL,Aditya Birla Capital Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ABCGAS,ABC Gas ,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ABCINDQ,ABC India Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ABFRL,Aditya Birla Fashion and Retail Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ABHICAP,Abhinav Capital Services Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ABHIFIN,Abhishek Finlease Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ABHIINFRA,Abhishek Infraventures Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ABIRAFN,Abirami Financial Services ,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ABMKNO,ABM Knowledgeware Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ABSA,Absa Bank Botswana Ltd,BWP,BSE,XBOT,Botswana,Common Stock,2023-09-25,,
ABSLAMC,Aditya Birla Sun Life AMC Limi,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ABVL,Arunjyoti Bio Ventures Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACC,ACC Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACCEDERE,ACCEDERE LIMITED,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACCEL,Accel Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACCELERATE,ACCELERATEBS INDIA LIMITED,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACCELYA,Accelya Solutions India Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACCESS,Access Bank Botswana Ltd,BWP,BSE,XBOT,Botswana,Common Stock,2023-09-25,2024-10-19,
ACE,Action Construction Equipment Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACEEDU,ACE EDUTREND LTD.,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACEENGITEC,ACE ENGITECH LIMITED,INR,BSE,XBOM,India,Common Stock,2024-10-19,2024-08-24,
ACEMEN,Ace Men Engg Works Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACESOFT,Ace Software Exports Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACGL,Automobile Corporation of Goa Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACHYUT,Achyut Healthcare Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACI,Archean Chemical Industries Li,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACIIN,ACI Infocom Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACKNIT,Acknit Industries Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACL,Ambuja Cements Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACME,Acme Resources Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACML,Aditya Consumer Marketing Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACROW,Acrow India Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACRYSIL,Acrysil Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ACTIVE,Active Clothing Co  Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ADANIENSOL,Adani Energy Solutions Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ADANIENT,Adani Enterprises Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ADANIGREEN,Adani Green Energy Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ADANIPOWER,Adani Power Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ADANITRANS,Adani Transmissions Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ADARSHPL,Adarsh Plant Protect Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ADCINDIA,ADC India Communications Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ADCON,Adcon Capital Services Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ADCONPP,Adcon Capital Services Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,2024-10-19,
ADCON.RE,Adcon Capital Services Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,2024-10-19,
ADDIND,Addi Industries Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ADESHWAR,Adeshwar Meditex Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ADFFOODS,ADF Foods Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ADHBHUTIN,,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ADID,ADIDAS,HUF,BSE,XBUD,Hungary,Common Stock,2023-09-25,,
ADIEXRE,Adinath Exim Resources Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
ADINATH,Adinath Textiles Limited,INR,BSE,XBOM,India,Common Stock,2023-09-25,,
