symbol,name,currency,exchange,mic_code,country,added_date,deleted_date
ABSLBANETF,Aditya Birla Sun Life Banking ETF,INR,NSE,XNSE,India,2023-09-25,
ABSLNN50ET,ADITYA BIRLA SUN L,INR,NSE,XNSE,India,2023-09-25,
AXISBNKETF,Axis Amc Ltd. - Axis Mutual Fund - Axis Banking ETF,INR,NSE,XNSE,India,2023-09-25,
AXISBPSETF,Axis AMC Ltd. - Axis Mutual Fund - Axis AAA Bond Plus SDL ETF 2026 Fund,INR,NSE,XNSE,India,2023-09-25,
AXISCETF,Axis AMC Ltd. - Axis Mutual Fund - Axis Consumption ETF,INR,NSE,XNSE,India,2023-09-25,
AXISGOLD,Axis Gold Exchange Traded Fund,INR,NSE,XNSE,India,2023-09-25,
AXISHCETF,Axis AMC Ltd. - Axis Mutual Fund - Axis Healthcare Exchange Traded Fund,INR,NSE,XNSE,India,2023-09-25,
AXISNIFTY,Axis NIFTY ETF,INR,NSE,XNSE,India,2023-09-25,
AXISTECETF,Axis Mutual Fund - Axis Technology ETF,INR,NSE,XNSE,India,2023-09-25,
BANKBEES,Nippon India ETF Bank BeES,INR,NSE,XNSE,India,2023-09-25,
BBETF0432,EDELAMC - BBETF0432,INR,NSE,XNSE,India,2023-09-25,
BSLGOLDETF,Aditya Birla Sun Life Gold ETF,INR,NSE,XNSE,India,2023-09-25,
BSLNIFTY,Aditya Birla Sun Life Nifty ETF,INR,NSE,XNSE,India,2023-09-25,
BSLSENETFG,BIRLASLAMC - BSLSENETFG,INR,NSE,XNSE,India,2023-09-25,
CPSEETF,CPSE ETF,INR,NSE,XNSE,India,2023-09-25,
DSPN50ETF,DSP Blackrock Mutual Fund - DSP BlackRock Nifty 50 ETF,INR,NSE,XNSE,India,2023-09-25,
DSPNEWETF,DSP Investment Managers Private Limited - DSP Mutual Fund - DSP Nifty 50 Equal Weight ETF,INR,NSE,XNSE,India,2023-09-25,
DSPQ50ETF,DSPAMC - DSPQ50ETF,INR,NSE,XNSE,India,2023-09-25,
EBANK,Edelweiss ETF - Nifty Bank,INR,NSE,XNSE,India,2023-09-25,
EBBETF0423,"Edelweiss Amc Ltd - Edelweiss Mutual Fund - Edelweiss Bharat Bond Exchange Traded Fund, April 2023",INR,NSE,XNSE,India,2023-09-25,
EBBETF0425,EDELAMC - EBBETF0425,INR,NSE,XNSE,India,2023-09-25,
