symbol,currency_group,currency_base,currency_quote,added_date,deleted_date
INR/BRL,Minor,Indian Rupee,Brazil Real,2023-09-25,
INR/CLP,Exotic-Cross,Indian Rupee,Chilean Peso,2023-09-25,
INR/CNY,Exotic-Cross,Indian Rupee,Chinese Yuan,2023-09-25,
INR/CZK,Exotic-Cross,Indian Rupee,Czech Koruna,2023-09-25,
INR/DKK,Exotic-Cross,Indian Rupee,Danish Krone,2023-09-25,
INR/EGP,Exotic-Cross,Indian Rupee,Egyptian Pound,2023-09-25,
INR/EUR,Exotic-Cross,Indian Rupee,Euro,2023-09-25,
INR/GBP,Exotic-Cross,Indian Rupee,British Pound,2023-09-25,
INR/HKD,Exotic-Cross,Indian Rupee,Hong Kong Dollar,2023-09-25,
INR/HUF,Exotic-Cross,Indian Rupee,Hungarian Forint,2023-09-25,
INR/IDR,Exotic-Cross,Indian Rupee,Indonesian Rupiah,2023-09-25,
INR/ILS,Exotic-Cross,Indian Rupee,Israeli Shekel,2023-09-25,
INR/ISK,Exotic-Cross,Indian Rupee,Icelandic Krona,2023-09-25,
INR/JMD,Exotic-Cross,Indian Rupee,Jamaican Dollar,2023-09-25,
INR/JPY,Exotic-Cross,Indian Rupee,Japanese Yen,2023-09-25,
INR/KES,Exotic-Cross,Indian Rupee,Kenyan Shilling,2023-09-25,
INR/KRW,Exotic-Cross,Indian Rupee,Korean Won,2023-09-25,
INR/LBP,Exotic-Cross,Indian Rupee,Lebanese Pound,2023-09-25,
INR/LKR,Exotic-Cross,Indian Rupee,Sri Lankan Rupee,2023-09-25,
INR/MAD,Exotic-Cross,Indian Rupee,Moroccan Dirham,2023-09-25,
INR/MXN,Exotic-Cross,Indian Rupee,Mexican Peso,2023-09-25,
INR/MYR,Exotic-Cross,Indian Rupee,Malaysian Ringgit,2023-09-25,
INR/NAD,Exotic-Cross,Indian Rupee,Namibian Dollar,2023-09-25,
INR/NOK,Exotic-Cross,Indian Rupee,Norwegian Krone,2023-09-25,
INR/NPR,Exotic-Cross,Indian Rupee,Nepalese Rupee,2023-09-25,
INR/PHP,Exotic-Cross,Indian Rupee,Philippine Peso,2023-09-25,
INR/PKR,Exotic-Cross,Indian Rupee,Pakistani Rupee,2023-09-25,
INR/RUB,Exotic-Cross,Indian Rupee,Russian Ruble,2023-09-25,
INR/SEK,Exotic-Cross,Indian Rupee,Swedish Krona,2023-09-25,
INR/THB,Exotic-Cross,Indian Rupee,Thai Baht,2023-09-25,
INR/TRY,Exotic-Cross,Indian Rupee,Turkish Lira,2023-09-25,
INR/TWD,Exotic-Cross,Indian Rupee,Taiwan Dollar,2023-09-25,
INR/USD,Exotic,Indian Rupee,US Dollar,2023-09-25,
INR/XAF,Exotic-Cross,Indian Rupee,Central African CFA franc,2023-09-25,
INR/XOF,Exotic-Cross,Indian Rupee,West African CFA franc,2023-09-25,
INR/ZAR,Exotic-Cross,Indian Rupee,South African Rand,2023-09-25,
