symbol,available_exchanges,currency_base,currency_quote,added_date,deleted_date
BTC/AUD,"['BTC Markets', 'Independent Reserve']",Bitcoin,Australian Dollar,2023-09-25,
BTC/BRL,"['Binance', 'MercadoBitcoin', 'NovaDAX']",Bitcoin,Brazil Real,2023-09-25,
BTC/CAD,"['CoinField', 'Kraken']",Bitcoin,Canadian Dollar,2023-09-25,
BTC/CHF,['Kraken'],Bitcoin,Swiss Franc,2023-09-25,
BTC/CNY,['TOPBTC'],Bitcoin,Chinese Yuan,2023-09-25,
BTC/ETH,['Synthetic'],Bitcoin,Ethereum,2023-09-25,
BTC/EUR,"['Binance', 'BitStamp', 'Coinbase Pro', 'Kraken']",Bitcoin,Euro,2023-09-25,
BTC/GBP,"['Binance', 'Coinbase Pro']",Bitcoin,British Pound,2023-09-25,
BTC/HKD,['QUOINE'],Bitcoin,Hong Kong Dollar,2023-09-25,
BTC/IDR,"['BTC Indonesia', 'Luno']",Bitcoin,Indonesian Rupiah,2023-09-25,
BTC/ILS,['Synthetic'],Bitcoin,Israeli Shekel,2023-09-25,
BTC/INR,"['Bitbns', 'Synthetic']",Bitcoin,Indian Rupee,2023-09-25,
BTC/JPY,"['bitFlyer', 'BTCBOX', 'QUOINE']",Bitcoin,Japanese Yen,2023-09-25,
BTC/KRW,"['Bithumb', 'Coinone', 'Upbit']",Bitcoin,Korean Won,2023-09-25,
BTC/MXN,"['Bitso', 'Synthetic']",Bitcoin,Mexican Peso,2023-09-25,
BTC/MYR,"['Luno', 'Synthetic']",Bitcoin,Malaysian Ringgit,2023-09-25,
BTC/NGN,['Luno'],Bitcoin,Nigerian Naira,2023-09-25,
BTC/NZD,['Independent Reserve'],Bitcoin,New Zealand Dollar,2023-09-25,
BTC/PEN,['Bitinka'],Bitcoin,Peru Sol,2023-09-25,
BTC/PLN,"['BitBay', 'Exmo']",Bitcoin,Polish Zloty,2023-09-25,
BTC/RUB,"['CEX.IO', 'Exmo']",Bitcoin,Russian Ruble,2023-09-25,
BTC/SAR,['Synthetic'],Bitcoin,Saudi Riyal,2023-09-25,
BTC/SEK,['Synthetic'],Bitcoin,Swedish Krona,2023-09-25,
BTC/SGD,"['Luno', 'QUOINE']",Bitcoin,Singapore Dollar,2023-09-25,
BTC/THB,"['Bitkub', 'Satang Pro']",Bitcoin,Thai Baht,2023-09-25,
BTC/TRY,"['BTCTurk', 'Paribu']",Bitcoin,Turkish Lira,2023-09-25,
BTC/UAH,['Exmo'],Bitcoin,Ukrainian Hryvnia,2023-09-25,
BTC/UGX,['Luno'],Bitcoin,Ugandan Shilling,2023-09-25,
BTC/USD,"['Binance', 'Bitfinex', 'Coinbase Pro', 'FTX']",Bitcoin,US Dollar,2023-09-25,
BTC/VND,['Synthetic'],Bitcoin,Vietnamese Dong,2023-09-25,
BTC/XAU,['Synthetic'],Bitcoin,Gold Spot,2023-09-25,
BTC/XRP,['CoinField'],Bitcoin,XRP,2023-09-25,
BTC/ZAR,"['Luno', 'Synthetic']",Bitcoin,South African Rand,2023-09-25,
BTC/ZMW,['Luno'],Bitcoin,Zambia Kwacha,2023-09-25,
