name,added_date,deleted_date
AAX,2023-09-25,
ABCC,2023-09-25,
ACX,2023-09-25,
AEX,2023-09-25,
AlienCloud,2023-09-25,
Allcoin,2023-09-25,
AltCoinTrader,2023-09-25,
Altilly,2023-09-25,
ANX,2023-09-25,
Bancor Network,2023-09-25,
Bibox,2023-09-25,
BigONE,2023-09-25,
Bilaxy,2023-09-25,
Binance,2023-09-25,
Binance DEX,2023-09-25,
Bitbank,2023-09-25,
BitBay,2023-09-25,
Bitbegin,2023-09-25,
Bitbns,2023-09-25,
Bitci.com,2023-09-25,
BitcoinToYou,2023-09-25,
BitcoinTrade,2023-09-25,
BiteBTC,2023-09-25,
Bitexen,2023-09-25,
Bitex.la,2023-09-25,
Bitexlive,2023-09-25,
Bitfinex,2023-09-25,
bitFlyer,2023-09-25,
BitForex,2023-09-25,
Bithesap,2023-09-25,
Bithumb,2023-09-25,
Bitibu,2023-09-25,
Bitinka,2023-09-25,
Bitkub,2023-09-25,
Bitlish,2023-09-25,
BitMart,2023-09-25,
BitMax,2023-09-25,
BitMEX,2023-09-25,
Bitpanda Pro,2023-09-25,
Bitrue,2023-09-25,
Bitso,2023-09-25,
BitStamp,2023-09-25,
Bittrex,2023-09-25,
Bit-Z,2023-09-25,
Bleutrade,2023-09-25,
Braziliex,2023-09-25,
BTC-Alpha,2023-09-25,
BTCBOX,2023-09-25,
BTC Indonesia,2023-09-25,
BTC Markets,2023-09-25,
BTCTurk,2023-09-25,
Btcwinex,2023-09-25,
BTSE,2023-09-25,
BXThailand,2023-09-25,
Bybit,2023-09-25,
C2CX,2023-09-25,
CBX,2023-09-25,
C-CEX,2023-09-25,
CEX.IO,2023-09-25,
CHAOEX,2023-09-25,
Cobinhood,2023-09-25,
CoinAll,2023-09-25,
Coinbase Pro,2023-09-25,
Coinbene,2023-09-25,
Coinbig,2023-09-25,
Coineal,2023-09-25,
COINEGG,2023-09-25,
CoinEx,2023-09-25,
CoinExchange,2023-09-25,
Coinext,2023-09-25,
CoinField,2023-09-25,
Coingecko,2023-09-25,
CoinHub,2023-09-25,
Coinlib,2023-09-25,
CoinMex,2023-09-25,
Coinnest,2023-09-25,
Coinone,2023-09-25,
Coinrail,2023-09-25,
CoinsBank,2023-09-25,
Coinsbit,2023-09-25,
