Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-05-01,-7.663726583177134e-08,-8.010454877194206e-08,-7.291238428805772e-08,-8.010454877194206e-08,93648821,0.0,0.0
1996-05-02,-8.010454931554761e-08,-8.852512678458879e-08,-8.852512678458879e-08,-8.852512678458879e-08,51675,0.0,0.0
1996-05-03,-8.852512678458879e-08,-8.852512678458879e-08,-8.852512678458879e-08,-8.852512678458879e-08,0,0.0,0.0
1996-05-06,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,64594,0.0,0.0
1996-05-07,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,167945,0.0,0.0
1996-05-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.510304979913893e-08,-9.783730092749465e-08,258377,0.0,0.0
1996-05-09,-9.783733469586905e-08,-9.783733469586905e-08,-9.767878806019805e-08,-9.781751941773109e-08,1744046,0.0,0.0
1996-05-10,-9.781748565619593e-08,-9.783730092749465e-08,-9.549933081455461e-08,-9.783730092749465e-08,697618,0.0,0.0
1996-05-13,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,219620,0.0,0.0
1996-05-14,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,12918,0.0,0.0
1996-05-15,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,12918,0.0,0.0
1996-05-16,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,1808640,0.0,0.0
1996-05-17,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-05-20,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-05-21,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,38756,0.0,0.0
1996-05-22,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,25837,0.0,0.0
1996-05-23,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,25837,0.0,0.0
1996-05-24,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,64594,0.0,0.0
1996-05-27,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,103350,0.0,0.0
1996-05-28,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,90432,0.0,0.0
1996-05-29,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,12918,0.0,0.0
1996-05-30,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,64594,0.0,0.0
1996-05-31,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-06-03,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,12918,0.0,0.0
1996-06-04,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,25837,0.0,0.0
1996-06-05,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-06-06,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-06-07,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-06-10,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-06-11,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,12918,0.0,0.0
1996-06-12,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-06-13,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-06-14,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,2364151,0.0,0.0
1996-06-17,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-06-18,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,1291886,0.0,0.0
1996-06-19,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,12918,0.0,0.0
1996-06-20,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-06-21,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-06-24,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-06-25,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-06-26,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-06-27,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-06-28,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,12918,0.0,0.0
1996-07-01,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-02,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-03,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-04,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-05,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-09,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-10,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-11,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-12,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-15,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-16,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-17,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-18,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-19,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-22,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-23,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-24,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-25,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
1996-07-26,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,-9.783730092749465e-08,0,0.0,0.0
