Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Gross PPE,Construction In Progress,Other Properties,Current Assets,Other Current Assets,Inventory,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date,Retained Earnings,Additional Paid In Capital,Non Current Deferred Revenue,Non Current Prepaid Assets,Accumulated Depreciation,Machinery Furniture Equipment,Buildings And Improvements,Properties,Restricted Cash,Prepaid Assets,Other Inventories,Finished Goods,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Financial
,41293282.0,41293282.0,4505400000.0,7253280000.0,4674340000.0,10009770000.0,1855420000.0,4674340000.0,2632950000.0,5389440000.0,5796090000.0,5420240000.0,30800000.0,5389440000.0,5182970000.0,206470000.0,206470000.0,10093980000.0,2973510000.0,335510000.0,26520000.0,2611480000.0,2204830000.0,406650000.0,7120470000.0,1255510000.0,6640000.0,4641800000.0,428120000.0,4213680000.0,1141980000.0,,1141980000.0,15514220000.0,6538330000.0,35060000.0,177220000.0,372090000.0,372090000.0,715100000.0,206970000.0,508130000.0,5238860000.0,5238860000.0,17700000.0,5221160000.0,8975890000.0,953890000.0,5680800000.0,1720000.0,163470000.0,1307110000.0,868900000.0,753970000.0,114930000.0,2024-03-31,,,,,,,,,,,,,,,
0.0,40297758.0,40297758.0,4370270000.0,6923080000.0,4251160000.0,9506210000.0,1425620000.0,4251160000.0,2389630000.0,4972760000.0,5146840000.0,4997720000.0,24960000.0,4972760000.0,4771270000.0,201490000.0,201490000.0,9695970000.0,2535050000.0,341920000.0,10130000.0,2183000000.0,2008920000.0,174080000.0,7160920000.0,1236760000.0,2730000.0,4740080000.0,380710000.0,4359370000.0,1100240000.0,1176640000.0,1100240000.0,14693690000.0,6107150000.0,32260000.0,159210000.0,350700000.0,350700000.0,721600000.0,218430000.0,503170000.0,4804930000.0,4804930000.0,1130000.0,4803800000.0,8586540000.0,752820000.0,5791310000.0,1910000.0,148510000.0,1087460000.0,804530000.0,641350000.0,163180000.0,2023-09-30,,,,,,,,,,,,,,,
,39624746.0,39624746.0,2706800000.0,5093210000.0,4003580000.0,7597950000.0,1463030000.0,4003580000.0,2192580000.0,4697320000.0,4957780000.0,4716450000.0,19130000.0,4697320000.0,63660000.0,198120000.0,198120000.0,7891200000.0,2378270000.0,13510000.0,0.0,2067320000.0,1806860000.0,260460000.0,5512930000.0,148800000.0,23570000.0,3025890000.0,385720000.0,2640170000.0,1260400000.0,91240000.0,1169160000.0,12607650000.0,5631690000.0,,135930000.0,162800000.0,162800000.0,693740000.0,215390000.0,478350000.0,4449050000.0,6708010000.0,32060000.0,187800000.0,6975960000.0,,4484020000.0,361430000.0,43820000.0,1035600000.0,236940000.0,43110000.0,193830000.0,2023-03-31 00:00:00,1318260000.0,1814220000.0,297440000.0,190170000.0,-2258960000.0,1657110000.0,4831040000.0,0.0,205760000.0,608390000.0,833860000.0,3650160000.0,-13460000.0,1049060000.0,193830000.0
