Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-4498619866.23284,0.26789,185986500000.0,-16792800000.0,-16792800000.0,99364500000.0,1173314100000.0,169193700000.0,169193700000.0,-29383600000.0,29383600000.0,111658680133.76717,99364500000.0,1403051000000.0,12577784810.0,12577784810.0,7.9,7.9,99364500000.0,99364500000.0,0.0,99364500000.0,-2991900000.0,102356400000.0,102356400000.0,37453700000.0,139810100000.0,-78880600000.0,-16792800000.0,,16792800000.0,-29383600000.0,29383600000.0,262716500000.0,229736900000.0,212345400000.0,492453400000.0,1173314100000.0,1665767500000.0,1665767500000.0,2024-06-30
-5108945597.363218,0.243704,211961200000.0,-20963700000.0,-20963700000.0,109969200000.0,1144568100000.0,190997500000.0,190997500000.0,-26827700000.0,26827700000.0,125823954402.63678,109969200000.0,1366554800000.0,,,,,109969200000.0,109969200000.0,0.0,109969200000.0,-14191700000.0,124160900000.0,124160900000.0,40008900000.0,164169800000.0,-100966300000.0,-20963700000.0,17333500000.0,3630200000.0,-26827700000.0,26827700000.0,301151500000.0,221986700000.0,202424000000.0,523138200000.0,1144568100000.0,1667706300000.0,1667706300000.0,2024-03-31
-6071497873.712317,0.259563,193996200000.0,-23391200000.0,-23391200000.0,103564400000.0,1167617000000.0,170605000000.0,170605000000.0,-25441200000.0,25441200000.0,120884102126.28767,103564400000.0,1395819800000.0,12583766707.0,12583766707.0,8.23,8.23,103564400000.0,103564400000.0,0.0,103564400000.0,-3920200000.0,107484600000.0,107484600000.0,37679200000.0,145163800000.0,-66581200000.0,-23391200000.0,-6700000.0,23397900000.0,-25441200000.0,25441200000.0,259870800000.0,228202800000.0,210134700000.0,488073600000.0,1167617000000.0,1655690600000.0,1655690600000.0,2023-12-31
-2974889986.343293,0.253915,259618500000.0,-11716100000.0,-11716100000.0,137341100000.0,893810100000.0,247902400000.0,247902400000.0,-26033400000.0,26033400000.0,146082310013.6567,137341100000.0,1128759500000.0,12577023810.0,12577023810.0,10.92,10.92,137341100000.0,137341100000.0,0.0,137341100000.0,-28192100000.0,165532200000.0,165532200000.0,56335800000.0,221869000000.0,-86579500000.0,-11716100000.0,-962500000.0,12678600000.0,-26033400000.0,26033400000.0,339977800000.0,234949400000.0,217579400000.0,574927200000.0,893810100000.0,1468737300000.0,1468737300000.0,2023-09-30
-3073960889.1484,0.267322,279358700000.0,-11499100000.0,-11499100000.0,146444300000.0,1075421600000.0,267859600000.0,267859600000.0,-23639400000.0,23639400000.0,154869439110.8516,146444300000.0,1283513900000.0,12581125430.0,12581125430.0,11.64,11.64,146444300000.0,146444300000.0,0.0,146444300000.0,-32490500000.0,178934800000.0,178934800000.0,65285400000.0,244220200000.0,-80620800000.0,-11499100000.0,,11499100000.0,-23639400000.0,23639400000.0,354722000000.0,208092300000.0,189959500000.0,562814300000.0,1075421600000.0,1638235900000.0,1638235900000.0,2023-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85723680000.0,,,,,,,,,,,2023-03-31
,,,,,,,,,,,,,,12583778751.0,12583778751.0,9.13,9.13,,,,,,,,,,,,82800000.0,,,,,,,,,,,2022-12-31
