Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
167500.0,62788532.0,62956032.0,3784900000.0,12900400000.0,24992300000.0,10951300000.0,12900400000.0,288500000.0,21495900000.0,22846200000.0,21708400000.0,212500000.0,21495900000.0,20868000000.0,,,627900000.0,627900000.0,13011000000.0,2658500000.0,,492700000.0,1545600000.0,195300000.0,1350300000.0,52700000.0,10352500000.0,159600000.0,2239300000.0,93200000.0,2146100000.0,,292700000.0,7335200000.0,,,602300000.0,6732900000.0,34719400000.0,13415600000.0,691100000.0,,103200000.0,,2986700000.0,2986700000.0,8595500000.0,3470400000.0,5125100000.0,637400000.0,,637400000.0,0.0,637400000.0,,,,21303800000.0,2696700000.0,,,10715800000.0,,,7891300000.0,2468800000.0,5422500000.0,,,2024-03-31
1250.0,62619782.0,62621032.0,1814400000.0,11125300000.0,21507900000.0,10129000000.0,11125300000.0,318300000.0,20011800000.0,20487200000.0,20080400000.0,68600000.0,20011800000.0,19385600000.0,,,626200000.0,626200000.0,11585000000.0,1992500000.0,,539100000.0,718000000.0,242600000.0,475400000.0,39900000.0,9592500000.0,307800000.0,1096400000.0,75700000.0,1020700000.0,,28400000.0,6805200000.0,,,537000000.0,6268200000.0,31665400000.0,11943900000.0,501900000.0,,121100000.0,,1355900000.0,1355900000.0,8886500000.0,3657500000.0,5229000000.0,695200000.0,,695200000.0,75200000.0,620000000.0,,,,19721500000.0,3750500000.0,,,8963500000.0,,,7007500000.0,2307800000.0,4699700000.0,,,2023-09-30
,62443217.0,62443217.0,1401100000.0,9207100000.0,19265700000.0,10035300000.0,9207100000.0,339600000.0,18204200000.0,18641000000.0,18283900000.0,79700000.0,18204200000.0,342800000.0,7300900000.0,9650500000.0,624400000.0,624400000.0,10569400000.0,2737800000.0,41500000.0,565500000.0,705900000.0,269100000.0,436800000.0,41500000.0,7831600000.0,249900000.0,695200000.0,70500000.0,624700000.0,12900000.0,12900000.0,6996100000.0,1851500000.0,300000.0,474200000.0,4670100000.0,28853300000.0,10986400000.0,732100000.0,772200000.0,84100000.0,63700000.0,113300000.0,113300000.0,8997100000.0,3795000000.0,5202100000.0,679200000.0,-748800000.0,1428000000.0,10900000.0,668300000.0,743900000.0,673200000.0,0.0,17866900000.0,1688300000.0,1739600000.0,174300000.0,7015400000.0,-43100000.0,7058500000.0,8937600000.0,4101500000.0,4836100000.0,3074800000.0,1761300000.0,2023-03-31
