Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Other Inventories
,135944988.0,135944988.0,516300000.0,44047600000.0,45475100000.0,16615000000.0,44047600000.0,44958800000.0,45050800000.0,45539400000.0,580600000.0,44958800000.0,44335200000.0,,,,623600000.0,623600000.0,9913000000.0,2461000000.0,,2280000000.0,92000000.0,92000000.0,89000000.0,7452000000.0,744500000.0,424300000.0,424300000.0,,252200000.0,5480900000.0,,,189000000.0,5291900000.0,55452400000.0,31385400000.0,381500000.0,,442300000.0,442300000.0,2099700000.0,,,911200000.0,647400000.0,263800000.0,27037300000.0,,27037300000.0,4304300000.0,22733000000.0,,,,,24067000000.0,2704100000.0,,,9003100000.0,,,,1517800000.0,10100000.0,2119400000.0,,,8712500000.0,7517700000.0,1194800000.0,,,2024-03-31,,
4500000.0,131444988.0,135944988.0,894700000.0,39381200000.0,41222300000.0,13729800000.0,39381200000.0,40327600000.0,40412800000.0,40852800000.0,525200000.0,40327600000.0,39704000000.0,,,,623600000.0,623600000.0,9591100000.0,2743500000.0,,2262300000.0,85200000.0,85200000.0,396000000.0,6847600000.0,871100000.0,809500000.0,809500000.0,,23700000.0,4173800000.0,,,541900000.0,3631900000.0,50443900000.0,29866600000.0,270300000.0,,738100000.0,738100000.0,2047200000.0,,,946400000.0,682600000.0,263800000.0,25358700000.0,,25358700000.0,6148000000.0,19210700000.0,,,,,20577400000.0,3366600000.0,,,8131700000.0,,,,927700000.0,0.0,1087600000.0,,,7063800000.0,4843500000.0,2220300000.0,,,2023-09-30,,
4500000.0,136444988.0,140944988.0,3166831000.0,38753345000.0,42221356000.0,13750965000.0,38753345000.0,39054525000.0,39148262000.0,39465280000.0,410755000.0,39054525000.0,38405900000.0,826682000.0,35106859000.0,1938417000.0,648625000.0,648625000.0,12128364000.0,2651846000.0,345274000.0,2212835000.0,93737000.0,93737000.0,345300000.0,9476518000.0,488800000.0,3073094000.0,3073094000.0,20661000.0,20600000.0,5909603000.0,423318000.0,3043000.0,131329000.0,5351913000.0,51593644000.0,28366161000.0,401600000.0,401582000.0,533712000.0,533712000.0,1847544000.0,108123000.0,1739421000.0,301180000.0,37361000.0,263819000.0,24774812000.0,-7512685000.0,32287497000.0,4430357000.0,19654800000.0,21370030000.0,3498014000.0,1635641000.0,1353455000.0,23227483000.0,1000.0,3043000.0,2373706000.0,8107896000.0,1575641000.0,294308000.0,6237947000.0,1335387000.0,18008000.0,2957420000.0,-17394000.0,2974814000.0,8432022000.0,3359021000.0,5073001000.0,4696737000.0,376264000.0,2023-03-31,,
