Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Accrued Expenses,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Other Investments,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
0.0,231098641.0,231098641.0,48662900000.0,58864300000.0,36139800000.0,89858600000.0,14677400000.0,36139800000.0,5498100000.0,36492400000.0,85358000000.0,35578000000.0,-914400000.0,36492400000.0,1460200000.0,82900000.0,14087800000.0,17444500000.0,2311000000.0,2311000000.0,143284200000.0,52896600000.0,765400000.0,0.0,812700000.0,266000000.0,51796700000.0,2931100000.0,48865600000.0,21200000.0,90387600000.0,24500000.0,7067600000.0,2567000000.0,4500600000.0,212600000.0,10467500000.0,2743100000.0,1700000.0,122000000.0,7600700000.0,178862200000.0,73797200000.0,14600000.0,4767700000.0,3695500000.0,26100000.0,221800000.0,0.0,220600000.0,1200000.0,,,36571900000.0,352600000.0,149200000.0,203400000.0,25278200000.0,-5640400000.0,30918600000.0,16269900000.0,647800000.0,3905600000.0,7358000000.0,2737300000.0,0.0,105065000000.0,5900000.0,1040900000.0,3353700000.0,77358800000.0,8731200000.0,68111700000.0,515900000.0,232400000.0,4997100000.0,-82600000.0,5079700000.0,18067600000.0,13364300000.0,4703300000.0,2805500000.0,1897800000.0,2024-03-31
,230850476.0,230850476.0,43696800000.0,48746300000.0,33457500000.0,81734400000.0,13696900000.0,33457500000.0,833900000.0,33822000000.0,78023100000.0,32921700000.0,-900300000.0,33822000000.0,31513500000.0,,,,2308500000.0,2308500000.0,136676400000.0,47737800000.0,744100000.0,,,269100000.0,45000900000.0,799800000.0,44201100000.0,19100000.0,88938600000.0,70624200000.0,3745400000.0,34100000.0,3711300000.0,166000000.0,6933400000.0,,,96000000.0,6837400000.0,169598100000.0,66962600000.0,2599500000.0,,3606800000.0,11000000.0,1846100000.0,,1846100000.0,,,,37106700000.0,364500000.0,161100000.0,203400000.0,16666000000.0,,16666000000.0,8047300000.0,8618700000.0,,,,,102635500000.0,7476800000.0,,,75003200000.0,,,,205600000.0,5111400000.0,,,14838500000.0,10622900000.0,4215600000.0,,,2023-09-30
,230731651.0,230731651.0,43192100000.0,49881200000.0,32077500000.0,77938000000.0,9600800000.0,32077500000.0,4393300000.0,32450100000.0,74383100000.0,31436900000.0,-1013200000.0,32450100000.0,1402100000.0,82900000.0,10243500000.0,17308300000.0,2307300000.0,2307300000.0,132337200000.0,44816700000.0,640000000.0,0.0,683100000.0,119900000.0,43996700000.0,2063700000.0,41933000000.0,17000000.0,87520500000.0,28300000.0,5884500000.0,2329600000.0,3554900000.0,88000000.0,12665700000.0,5157100000.0,1900000.0,160000000.0,7346700000.0,163774100000.0,66652800000.0,11000000.0,4980300000.0,3436500000.0,55200000.0,241500000.0,0.0,196500000.0,45000000.0,0.0,0.0,37625400000.0,372600000.0,169200000.0,203400000.0,17972800000.0,-5123100000.0,23095900000.0,9159600000.0,643300000.0,3793000000.0,7362700000.0,2137300000.0,0.0,97121300000.0,5500000.0,1669400000.0,2949400000.0,73273100000.0,7633600000.0,65175600000.0,463900000.0,364600000.0,4616000000.0,-66300000.0,4682300000.0,14243300000.0,11947500000.0,2295800000.0,653500000.0,1642300000.0,2023-03-31
