Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
183806386.492934,0.167554,1230300000.0,1097000000.0,1097000000.0,1627600000.0,117600000.0,1171400000.0,2327300000.0,2209700000.0,-180100000.0,30100000.0,-150000000.0,714406386.492934,1627600000.0,1993400000.0,,,,,1627600000.0,1627600000.0,0.0,1627600000.0,-186800000.0,1814400000.0,0.0,1814400000.0,365200000.0,2179600000.0,79300000.0,0.0,-180100000.0,30100000.0,-150000000.0,1183400000.0,822000000.0,704400000.0,117600000.0,117600000.0,2005400000.0,1171400000.0,3176800000.0,3176800000.0,2024-03-31
270398803.222094,0.219908,1510500000.0,1229600000.0,1229600000.0,1857000000.0,104300000.0,1057800000.0,2740100000.0,2635800000.0,300600000.0,28800000.0,329400000.0,897798803.222094,1857000000.0,1866300000.0,127191781.0,127017784.0,14.6,14.62,1857000000.0,1857000000.0,0.0,1857000000.0,-176700000.0,2033700000.0,0.0,2033700000.0,573300000.0,2607000000.0,43200000.0,0.0,300600000.0,28800000.0,329400000.0,1033600000.0,808500000.0,704200000.0,104300000.0,104300000.0,1842100000.0,1057800000.0,2899900000.0,2899900000.0,2023-12-31
169668024.208227,0.168138,1321300000.0,1009100000.0,1009100000.0,1828100000.0,104400000.0,1114600000.0,2330400000.0,2226000000.0,55200000.0,28400000.0,83600000.0,988668024.208227,1828100000.0,1829800000.0,127127955.0,126951389.0,14.38,14.4,1828100000.0,1828100000.0,0.0,1828100000.0,0.0,1828100000.0,0.0,1828100000.0,369500000.0,2197600000.0,46800000.0,0.0,55200000.0,28400000.0,83600000.0,1086500000.0,715200000.0,610800000.0,104400000.0,104400000.0,1801700000.0,1114600000.0,2916300000.0,2916300000.0,2023-09-30
324898932.112891,0.187262,1270900000.0,1735000000.0,1735000000.0,2344100000.0,96300000.0,1068000000.0,3005900000.0,2909600000.0,57900000.0,25400000.0,83300000.0,933998932.112891,2344100000.0,1776100000.0,126982665.0,126982665.0,18.46,18.46,2344100000.0,2344100000.0,0.0,2344100000.0,0.0,2344100000.0,0.0,2344100000.0,540100000.0,2884200000.0,39800000.0,0.0,57900000.0,25400000.0,83300000.0,1051500000.0,708100000.0,611800000.0,96300000.0,96300000.0,1759600000.0,1068000000.0,2827600000.0,2827600000.0,2023-06-30
45856617.325042,0.277919,1108700000.0,165000000.0,165000000.0,824400000.0,101200000.0,697500000.0,1273700000.0,1172500000.0,53900000.0,30800000.0,84700000.0,705256617.325042,824400000.0,1880100000.0,,,,,824400000.0,824400000.0,0.0,824400000.0,0.0,824400000.0,0.0,824400000.0,317300000.0,1141700000.0,7100000.0,-1600000.0,53900000.0,30800000.0,84700000.0,814800000.0,1182600000.0,-408800000.0,101200000.0,35400000.0,1997400000.0,697500000.0,2694900000.0,2694900000.0,2023-03-31
,,,,,,,,,,,,,,,,128029661.0,127758985.0,4.72,4.73,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-31
352300726.590882,0.196355,1762500000.0,1794200000.0,1794200000.0,2541700000.0,111900000.0,1142400000.0,3556700000.0,3444800000.0,61400000.0,31600000.0,93000000.0,1099800726.590882,2541700000.0,1892600000.0,127659468.0,127275914.0,19.91,19.97,2541700000.0,2541700000.0,0.0,2541700000.0,-201300000.0,2743000000.0,0.0,2743000000.0,670200000.0,3413200000.0,82300000.0,0.0,61400000.0,31600000.0,93000000.0,1475300000.0,750200000.0,638300000.0,111900000.0,111900000.0,2225500000.0,1142400000.0,3367900000.0,3367900000.0,2024-06-30 00:00:00
