,symbol,min_date,max_date,missing_dates_per,latest_closing_price,growth_per_30,avg_vol_30,growth_per_7,avg_vol_7,latest_signal,latest_trend,signal_start_date,signal_duration,trend_start_date,trend_duration
0,20MICRONS,2008-10-06,2024-10-18,5.92,306.45,2.17,162491,13.09,74229,Buy,1,2024-06-20 00:00:00,120,2024-10-15 00:00:00,3
1,21STCENMGM,2018-01-11,2024-10-18,5.79,117.89,-6.3,7230,10.38,3091,Buy,1,2024-08-02 00:00:00,77,2024-10-07 00:00:00,11
2,360ONE,2019-09-19,2024-10-18,5.57,1069.25,-2.07,863224,2.63,960850,Sell,-1,2024-10-11 00:00:00,7,2024-10-16 00:00:00,2
3,3IINFOLTD,2005-04-22,2024-10-18,5.76,28.97,-13.6,799376,-5.35,476213,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
4,3MINDIA,2002-07-01,2024-10-18,5.13,34011.15,-4.83,5816,-1.34,5205,Sell,1,2024-09-27 00:00:00,21,2024-10-17 00:00:00,1
5,3PLAND,2008-03-11,2024-10-18,5.97,36.9,-10.41,7790,-0.66,8644,Sell,-1,2024-08-09 00:00:00,70,2024-10-16 00:00:00,2
6,3RDROCK,2018-01-19,2024-10-18,5.9,64.6,0.0,0,0.0,0,Buy,1,2023-08-10 00:00:00,435,2023-08-10 00:00:00,435
7,5PAISA,2017-11-16,2024-10-18,5.79,532.25,0.31,206071,1.6,502784,Sell,-1,2024-10-17 00:00:00,1,2024-10-15 00:00:00,3
8,63MOONS,2005-06-20,2024-10-18,5.81,496.6,27.45,605967,14.82,1284019,Buy,-1,2024-10-09 00:00:00,9,2024-10-15 00:00:00,3
9,A2ZINFRA,2010-12-23,2024-10-18,5.87,18.55,10.41,255822,-6.11,662605,Sell,1,2024-10-14 00:00:00,4,2024-10-17 00:00:00,1
10,AAATECH,2020-11-12,2024-10-18,5.66,131.68,-7.03,113092,-1.27,25397,Buy,1,2024-04-15 00:00:00,186,2024-10-15 00:00:00,3
11,AADHARHFC,2024-05-15,2024-10-18,4.0,439.05,-5.04,1324724,-1.56,653896,Buy,1,2024-06-05 00:00:00,135,2024-10-17 00:00:00,1
12,AAKASH,2018-05-15,2024-10-18,5.8,11.47,-7.09,173294,-5.13,132987,Buy,-1,2024-06-28 00:00:00,112,2024-10-16 00:00:00,2
13,AAREYDRUGS,2021-08-06,2024-10-18,5.58,64.14,-4.64,42361,3.29,34330,Buy,-1,2023-12-29 00:00:00,294,2024-10-15 00:00:00,3
14,AARON,2018-09-18,2024-10-18,5.94,271.65,0.21,16165,-2.49,24565,Buy,-1,2023-12-08 00:00:00,315,2024-10-17 00:00:00,1
