Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
15751000.0,15751000.0,82612000.0,103294000.0,1589464000.0,1683423000.0,949572000.0,1589464000.0,9335000.0,1589464000.0,1665969000.0,1738737000.0,149273000.0,1589464000.0,1431954000.0,,,157510000.0,157510000.0,326874000.0,172204000.0,,80310000.0,85747000.0,9242000.0,76505000.0,6147000.0,154670000.0,19132000.0,,17547000.0,93000.0,17454000.0,,632000.0,117359000.0,14021000.0,103338000.0,2065611000.0,961369000.0,33805000.0,,13127000.0,13127000.0,914437000.0,,914437000.0,6098000.0,908339000.0,,,,,1104242000.0,12812000.0,,,201577000.0,,,,,,393523000.0,,,496330000.0,484983000.0,11347000.0,,2024-03-31
15751000.0,15751000.0,79676000.0,106617000.0,1493502000.0,1591612000.0,828478000.0,1493502000.0,8507000.0,1493502000.0,1571062000.0,1644698000.0,151196000.0,1493502000.0,1335992000.0,,,157510000.0,157510000.0,335131000.0,169260000.0,,79548000.0,86025000.0,8465000.0,77560000.0,3687000.0,165871000.0,27978000.0,,20592000.0,42000.0,20550000.0,,294000.0,117007000.0,6595000.0,110412000.0,1979829000.0,985480000.0,34245000.0,,29284000.0,29284000.0,921951000.0,,921951000.0,5598000.0,916353000.0,,,,,994349000.0,36275000.0,,,131550000.0,,,,,,382976000.0,,,443548000.0,425114000.0,18434000.0,,2023-09-30
15751000.0,15751000.0,15460000.0,35719000.0,1434687000.0,1461858000.0,809667000.0,1434687000.0,8548000.0,1434687000.0,1442308000.0,1572196000.0,137509000.0,1434687000.0,,1094837000.0,124470000.0,157510000.0,157510000.0,257105000.0,95407000.0,3687000.0,75635000.0,16085000.0,8464000.0,7621000.0,,161698000.0,23591000.0,17095000.0,19634000.0,84000.0,19550000.0,484000.0,,100418000.0,,100418000.0,1829301000.0,857936000.0,-4000.0,8274000.0,20997000.0,20997000.0,828669000.0,-283100000.0,1111769000.0,39000000.0,,844943000.0,140885000.0,86941000.0,0.0,971365000.0,,111000.0,23359000.0,150127000.0,263000.0,5261000.0,2182000.0,142421000.0,8613000.0,372360000.0,-280000.0,372640000.0,416795000.0,405084000.0,11711000.0,11711000.0,2023-03-31
