Ordinary Shares Number,Share Issued,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Provisions,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Date,Additional Paid In Capital,Non Current Accrued Expenses,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Financial Assets,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Prepaid Assets,Inventory,Other Receivables,Accounts Receivable,Other Short Term Investments
6324997701.0,6324997701.0,827468700000.0,827468700000.0,827468700000.0,827468700000.0,827468700000.0,828996000000.0,1527300000.0,827468700000.0,,63250000000.0,63250000000.0,52331475200000.0,149461400000.0,53160471200000.0,49578473100000.0,49578473100000.0,49578473100000.0,40747700000.0,418244700000.0,418244700000.0,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,
6324997701.0,6324997701.0,620525397000.0,620525397000.0,620525397000.0,620525397000.0,620525397000.0,621686589000.0,1161192000.0,620525397000.0,,63249977000.0,63249977000.0,48623268969000.0,149462077000.0,49244955558000.0,45762996185000.0,45762996185000.0,45762996185000.0,39005888000.0,371873770000.0,371873770000.0,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,
6324997701.0,6324997701.0,462328678000.0,462328678000.0,462328678000.0,462328678000.0,462328678000.0,463499682000.0,1171004000.0,462328678000.0,0.0,63249977000.0,63249977000.0,45321413861000.0,149462161000.0,45784913543000.0,42336503746000.0,42336503746000.0,42336503746000.0,38367334000.0,454985973000.0,454985973000.0,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,
