Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.257236,5548200000.0,0.0,0.0,3798200000.0,421000000.0,4573300000.0,5548200000.0,5127200000.0,-13600000.0,13600000.0,3798200000.0,3798200000.0,9905900000.0,,,,,3798200000.0,3798200000.0,0.0,3798200000.0,3798200000.0,3798200000.0,1315400000.0,5113600000.0,226500000.0,0.0,0.0,-13600000.0,13600000.0,4900700000.0,5332600000.0,2317200000.0,421000000.0,421000000.0,1688700000.0,1688700000.0,10233300000.0,4573300000.0,14806600000.0,14806600000.0,2024-03-31
0.0,0.255503,4862800000.0,0.0,0.0,3301100000.0,413700000.0,3883400000.0,4862800000.0,4449100000.0,-15100000.0,15100000.0,3301100000.0,3301100000.0,9593900000.0,271919275.0,271919275.0,12.14,12.14,3301100000.0,3301100000.0,0.0,3301100000.0,3301100000.0,3301100000.0,1132900000.0,4434000000.0,178900000.0,0.0,0.0,-15100000.0,15100000.0,4270200000.0,5710500000.0,2248300000.0,413700000.0,413700000.0,2042600000.0,2042600000.0,9980700000.0,3883400000.0,13864100000.0,13864100000.0,2023-12-31
0.0,0.257225,5031400000.0,0.0,0.0,3400500000.0,442800000.0,4594300000.0,5031400000.0,4588600000.0,-10500000.0,10500000.0,3400500000.0,3400500000.0,10245300000.0,272040000.0,272040000.0,12.5,12.5,3400500000.0,3400500000.0,0.0,3400500000.0,3400500000.0,3400500000.0,1177600000.0,4578100000.0,210100000.0,0.0,0.0,-10500000.0,10500000.0,4378500000.0,5651000000.0,2173300000.0,442800000.0,442800000.0,2059900000.0,2059900000.0,10029500000.0,4594300000.0,14623800000.0,14623800000.0,2023-09-30
-50278229.742922,0.257837,4330900000.0,-195000000.0,-195000000.0,2736800000.0,437600000.0,4178900000.0,4135900000.0,3698300000.0,-10700000.0,10700000.0,2881521770.257078,2736800000.0,9403700000.0,272047714.0,272047714.0,10.06,10.06,2736800000.0,2736800000.0,0.0,2736800000.0,2736800000.0,2736800000.0,950800000.0,3687600000.0,149700000.0,-195000000.0,195000000.0,-10700000.0,10700000.0,3743600000.0,5224800000.0,2105800000.0,437600000.0,437600000.0,1813100000.0,1813100000.0,8968400000.0,4178900000.0,13147300000.0,13147300000.0,2023-06-30
-4099420.251919,0.25802,4719790000.0,-15888000.0,-15888000.0,3162265000.0,431137000.0,6761222000.0,4703902000.0,4272765000.0,399188000.0,10838000.0,3174053579.748081,3162265000.0,9639804000.0,,,,,3162265000.0,3162265000.0,0.0,3162265000.0,3162265000.0,3162265000.0,1099662000.0,4261927000.0,-245197000.0,-15888000.0,18700000.0,399188000.0,10838000.0,4097387000.0,2878582000.0,-1792196000.0,431137000.0,431137000.0,3043716000.0,2957814000.0,6975969000.0,6761222000.0,13737191000.0,13737191000.0,2023-03-31
,,,,,,,,,,,,,,,272080537.0,272080537.0,8.94,8.94,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.256045,5317400000.0,0.0,0.0,3639800000.0,415100000.0,4393300000.0,5317400000.0,4902300000.0,-9800000.0,9800000.0,3639800000.0,3639800000.0,10189300000.0,272032885.0,272032885.0,13.38,13.38,3639800000.0,3639800000.0,0.0,3639800000.0,3639800000.0,3639800000.0,1252700000.0,4892500000.0,234000000.0,0.0,0.0,-9800000.0,9800000.0,4668300000.0,5796000000.0,2376400000.0,415100000.0,415100000.0,1990700000.0,1990700000.0,10464300000.0,4393300000.0,14857600000.0,14857600000.0,2024-06-30 00:00:00
