Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Restructuring And Mergern Acquisition
0.0,0.217593,51560000.0,0.0,0.0,35490000.0,4030000.0,170380000.0,51560000.0,47530000.0,-2170000.0,2170000.0,35490000.0,35490000.0,412200000.0,,,,,35490000.0,35490000.0,0.0,35490000.0,35490000.0,35490000.0,9870000.0,45360000.0,24870000.0,0.0,-2170000.0,2170000.0,22660000.0,241820000.0,100590000.0,4030000.0,4030000.0,264480000.0,170380000.0,434860000.0,434860000.0,2024-03-31,
0.0,0.24929,59170000.0,0.0,0.0,39630000.0,4120000.0,197410000.0,59170000.0,55050000.0,-2260000.0,2260000.0,39630000.0,39630000.0,442500000.0,26959184.0,26777027.0,1.47,1.48,39630000.0,39630000.0,0.0,39630000.0,39630000.0,39630000.0,13160000.0,52790000.0,25210000.0,0.0,-2260000.0,2260000.0,29840000.0,245090000.0,98030000.0,4120000.0,4120000.0,274930000.0,197410000.0,472340000.0,472340000.0,2023-12-31,
0.0,0.250025,106390000.0,0.0,0.0,74720000.0,4550000.0,209090000.0,106390000.0,101840000.0,-2210000.0,2210000.0,74720000.0,74720000.0,499190000.0,26309859.0,26309859.0,2.84,2.84,74720000.0,74720000.0,0.0,74720000.0,74720000.0,74720000.0,24910000.0,99630000.0,22740000.0,0.0,-2210000.0,2210000.0,79100000.0,290100000.0,126700000.0,4550000.0,4550000.0,369200000.0,209090000.0,578290000.0,578290000.0,2023-09-30,
0.0,0.256664,106340000.0,0.0,0.0,74790000.0,3930000.0,222890000.0,106340000.0,102410000.0,-1500000.0,1500000.0,74790000.0,74790000.0,519090000.0,26242105.0,26242105.0,2.85,2.85,74790000.0,74790000.0,0.0,74790000.0,74790000.0,74790000.0,25900000.0,100910000.0,19970000.0,0.0,-1500000.0,1500000.0,82440000.0,296200000.0,113230000.0,3930000.0,3930000.0,378640000.0,222890000.0,601530000.0,601530000.0,2023-06-30,
-1392743.931591,0.234745,84536000.0,-5933000.0,-5933000.0,56022000.0,4784000.0,235714000.0,78603000.0,73819000.0,32318000.0,612000.0,60562256.068409,56022000.0,495550000.0,,,,,56022000.0,56022000.0,0.0,56022000.0,56022000.0,56022000.0,17185000.0,73207000.0,-18059000.0,-1493000.0,32318000.0,612000.0,58990000.0,259836000.0,-178321000.0,4784000.0,4784000.0,318826000.0,235714000.0,554540000.0,554540000.0,2023-03-31,
,,,,,,,,,,,,,,,26212121.0,26212121.0,2.97,2.97,,,,,,,,,,,,,,,,,,,,,,2022-12-31,
-8228670.886076,0.250492,116820000.0,-32850000.0,-32850000.0,53290000.0,10720000.0,223040000.0,83970000.0,73250000.0,-2150000.0,2150000.0,77911329.113924,53290000.0,522730000.0,27611399.0,27469072.0,1.93,1.94,53290000.0,53290000.0,0.0,53290000.0,53290000.0,53290000.0,17810000.0,71100000.0,14440000.0,-32850000.0,-2150000.0,2150000.0,91660000.0,299690000.0,117330000.0,10720000.0,10720000.0,391350000.0,223040000.0,614390000.0,614390000.0,2024-06-30 00:00:00,32850000.0
