Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-1480000.0,0.4,229000000.0,-3700000.0,-3700000.0,-473500000.0,391100000.0,2917800000.0,225300000.0,-165800000.0,-222000000.0,222000000.0,,-471280000.0,-473500000.0,5922300000.0,,,,,-473500000.0,-473500000.0,0.0,-473500000.0,0.0,-473500000.0,-473500000.0,85700000.0,-387800000.0,76900000.0,-3700000.0,,-222000000.0,,222000000.0,,-239300000.0,3004500000.0,1682700000.0,391100000.0,,391100000.0,,,,2765200000.0,2917800000.0,5683000000.0,5683000000.0,2024-03-31
-3360000.0,0.3,155200000.0,-11200000.0,-11200000.0,-629000000.0,429300000.0,3046300000.0,144000000.0,-285300000.0,-244000000.0,244000000.0,,-621160000.0,-629000000.0,6011600000.0,20238095.0,20238095.0,-31.08,-31.08,-629000000.0,-629000000.0,0.0,-629000000.0,0.0,-629000000.0,-629000000.0,99700000.0,-529300000.0,227500000.0,-11200000.0,,-244000000.0,,244000000.0,,-503600000.0,2965300000.0,1704200000.0,429300000.0,,429300000.0,,,,2461700000.0,3046300000.0,5508000000.0,5508000000.0,2023-12-31
-10020000.0,0.3,287100000.0,-33400000.0,-33400000.0,-355200000.0,371100000.0,2931700000.0,253700000.0,-117400000.0,-208600000.0,212100000.0,4100000.0,-331820000.0,-355200000.0,5238300000.0,20232104.0,20232104.0,-17.556256,-17.556256,-355200000.0,-355200000.0,0.0,-355200000.0,,-355200000.0,-355200000.0,25700000.0,-329500000.0,,-33500000.0,33500000.0,-208600000.0,600000.0,212100000.0,4100000.0,-83400000.0,2306600000.0,939900000.0,371100000.0,1300000.0,369800000.0,256400000.0,234300000.0,22100000.0,2223200000.0,2931700000.0,5154900000.0,5154900000.0,2023-06-30
0.0,0.3,143700000.0,0.0,0.0,-558500000.0,381100000.0,3115500000.0,143700000.0,-237400000.0,-261900000.0,261900000.0,,-558500000.0,-558500000.0,6087800000.0,20235507.0,20235507.0,-27.6,-27.6,-558500000.0,-558500000.0,0.0,-558500000.0,0.0,-558500000.0,-558500000.0,59200000.0,-499300000.0,45200000.0,0.0,,-261900000.0,,261900000.0,,-283500000.0,2972300000.0,1592300000.0,381100000.0,,381100000.0,,,,2688800000.0,3115500000.0,5804300000.0,5804300000.0,2024-06-30 00:00:00
