Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Trading Securities,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Current Deferred Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
29484000.0,29484000.0,,,317055000.0,317055000.0,291334000.0,317055000.0,317055000.0,317055000.0,317055000.0,317055000.0,22215000.0,,,294840000.0,294840000.0,437980000.0,3386000.0,3386000.0,,,434594000.0,366000.0,,,4573000.0,368297000.0,,,368297000.0,755035000.0,29107000.0,,,0.0,,,0.0,29107000.0,,29107000.0,0.0,29107000.0,,,,,725928000.0,515000.0,,,8553000.0,,,,712395000.0,4465000.0,4433000.0,32000.0,,,2024-03-31
29484000.0,29484000.0,,,642940000.0,642940000.0,615653000.0,642940000.0,642940000.0,642940000.0,642940000.0,642940000.0,348100000.0,,,294840000.0,294840000.0,565254000.0,2971000.0,2971000.0,,,562283000.0,,,,10402000.0,490424000.0,,,490424000.0,1208194000.0,30258000.0,,,0.0,,,0.0,30258000.0,,30258000.0,0.0,30258000.0,,,,,1177936000.0,881000.0,,,2715000.0,,,,1169661000.0,4679000.0,4562000.0,117000.0,,,2023-09-30
29484000.0,29484000.0,55272000.0,60001000.0,639333000.0,699334000.0,610336000.0,639333000.0,639333000.0,639333000.0,639333000.0,639333000.0,23275000.0,285258000.0,59235000.0,294840000.0,294840000.0,554268000.0,2971000.0,2971000.0,0.0,0.0,551297000.0,3000.0,60001000.0,60001000.0,366000.0,491293000.0,6436000.0,4336000.0,480521000.0,1193601000.0,31968000.0,304000.0,0.0,0.0,749000.0,0.0,0.0,31464000.0,-34408000.0,65872000.0,0.0,1086000.0,44354000.0,14712000.0,5720000.0,0.0,1161633000.0,483000.0,0.0,0.0,5043000.0,4484000.0,0.0,559000.0,1151861000.0,4729000.0,4480000.0,4729000.0,0.0,4729000.0,2023-03-31
