Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.235289,4159360000.0,0.0,0.0,2101540000.0,1282250000.0,15312580000.0,4159360000.0,2877110000.0,-128960000.0,128960000.0,2101540000.0,2101540000.0,24236030000.0,,,,,2101540000.0,2101540000.0,0.0,2101540000.0,0.0,2101540000.0,2101540000.0,646610000.0,2748150000.0,265390000.0,0.0,,-128960000.0,128960000.0,2611720000.0,8923450000.0,5372880000.0,1282250000.0,1282250000.0,11535170000.0,15312580000.0,26847750000.0,26847750000.0,2024-03-31
0.0,0.240963,3259740000.0,0.0,0.0,1522780000.0,1144210000.0,15390830000.0,3259740000.0,2115530000.0,-109330000.0,109330000.0,1522780000.0,1522780000.0,23765230000.0,140607572.0,140607572.0,10.83,10.83,1522780000.0,1522780000.0,0.0,1522780000.0,0.0,1522780000.0,1522780000.0,483420000.0,2006200000.0,269680000.0,0.0,,-109330000.0,109330000.0,1845850000.0,8374400000.0,5010390000.0,1144210000.0,1144210000.0,10220250000.0,15390830000.0,25611080000.0,25611080000.0,2023-12-31
0.0,0.248314,3338440000.0,0.0,0.0,1545550000.0,1184110000.0,15317270000.0,3338440000.0,2154330000.0,-98220000.0,98220000.0,1545550000.0,1545550000.0,23451130000.0,140632393.0,140632393.0,10.99,10.99,1545550000.0,1545550000.0,0.0,1545550000.0,0.0,1545550000.0,1545550000.0,510560000.0,2056110000.0,155210000.0,0.0,,-98220000.0,98220000.0,1999120000.0,8133860000.0,4826170000.0,1184110000.0,1184110000.0,10132980000.0,15317270000.0,25450250000.0,25450250000.0,2023-09-30
0.0,0.242707,3378450000.0,0.0,0.0,1635010000.0,1129360000.0,14485050000.0,3378450000.0,2249090000.0,-90070000.0,90070000.0,1635010000.0,1635010000.0,22416410000.0,140706540.0,140706540.0,11.62,11.62,1635010000.0,1635010000.0,0.0,1635010000.0,0.0,1635010000.0,1635010000.0,524010000.0,2159020000.0,165870000.0,0.0,,-90070000.0,90070000.0,2083220000.0,7931360000.0,4614730000.0,1129360000.0,1129360000.0,10014580000.0,14485050000.0,24499630000.0,24499630000.0,2023-06-30
34157933.368804,0.227583,2902600000.0,150090000.0,150090000.0,1364660000.0,1215590000.0,19931100000.0,3052690000.0,1837100000.0,-57880000.0,70360000.0,1248727933.368804,1364660000.0,19350150000.0,,,,,1364660000.0,1364660000.0,0.0,1364660000.0,0.0,1364660000.0,1364660000.0,402080000.0,1766740000.0,-86860000.0,-6090000.0,0.0,-57880000.0,70360000.0,1713380000.0,-580950000.0,-6119960000.0,1215590000.0,1215590000.0,1132430000.0,19931100000.0,21063530000.0,21063530000.0,2023-03-31
,,,,,,,,,,,,,,,140741222.0,140741222.0,7.69,7.69,,,,,,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.239252,4079630000.0,,,2038570000.0,1287590000.0,16259900000.0,4079630000.0,2792040000.0,-112350000.0,112350000.0,2038570000.0,2038570000.0,25801760000.0,140688061.0,140688061.0,14.49,14.49,2038570000.0,2038570000.0,0.0,2038570000.0,0.0,2038570000.0,2038570000.0,641120000.0,2679690000.0,338800000.0,,,-112350000.0,112350000.0,2453240000.0,9541860000.0,5752690000.0,1287590000.0,1287590000.0,11995100000.0,16259900000.0,28255000000.0,28255000000.0,2024-06-30 00:00:00
