Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-1850706.938061,0.261399,738310000.0,-7080000.0,-7080000.0,404960000.0,156680000.0,7222770000.0,731230000.0,574550000.0,-26270000.0,26270000.0,410189293.061939,404960000.0,8953700000.0,,,,,404960000.0,404960000.0,0.0,404960000.0,,404960000.0,0.0,404960000.0,143320000.0,548280000.0,45160000.0,-7080000.0,7080000.0,,-26270000.0,26270000.0,551990000.0,1730930000.0,869640000.0,156680000.0,156680000.0,2282920000.0,7222770000.0,9505690000.0,9505690000.0,2024-03-31
0.0,0.253807,533590000.0,0.0,0.0,269010000.0,155220000.0,7444560000.0,533590000.0,378370000.0,-17860000.0,17860000.0,269010000.0,269010000.0,9046640000.0,92762069.0,92762069.0,2.9,2.9,269010000.0,269010000.0,0.0,269010000.0,,269010000.0,0.0,269010000.0,91500000.0,360510000.0,30030000.0,0.0,0.0,,-17860000.0,17860000.0,364380000.0,1602080000.0,782890000.0,155220000.0,155220000.0,1966460000.0,7444560000.0,9411020000.0,9411020000.0,2023-12-31
0.0,0.269379,472500000.0,0.0,0.0,224140000.0,150310000.0,7936650000.0,472500000.0,322190000.0,-15410000.0,15410000.0,224140000.0,224140000.0,9464920000.0,92619835.0,92619835.0,2.42,2.42,224140000.0,224140000.0,0.0,224140000.0,0.0,224140000.0,0.0,224140000.0,82640000.0,306780000.0,17980000.0,0.0,0.0,,-15410000.0,15410000.0,320600000.0,1528270000.0,756560000.0,150310000.0,150310000.0,1848870000.0,7936650000.0,9785520000.0,9785520000.0,2023-09-30
-115461.113472,0.288653,412730000.0,-400000.0,-400000.0,167380000.0,145970000.0,7467960000.0,412330000.0,266360000.0,-31060000.0,31060000.0,167664538.886528,167380000.0,8979860000.0,92988889.0,92988889.0,1.8,1.8,167380000.0,167380000.0,0.0,167380000.0,0.0,167380000.0,0.0,167380000.0,67920000.0,235300000.0,26480000.0,-400000.0,400000.0,,-31060000.0,31060000.0,256960000.0,1511900000.0,780420000.0,145970000.0,145970000.0,1768860000.0,7467960000.0,9236820000.0,9236820000.0,2023-06-30
-635998.451413,0.305768,430750000.0,-2080000.0,-2080000.0,179360000.0,146210000.0,6528600000.0,428670000.0,282460000.0,-24160000.0,24160000.0,180804001.548587,179350000.0,7901020000.0,,,,,179350000.0,179350000.0,0.0,179350000.0,10000.0,179340000.0,-10000.0,179350000.0,78980000.0,258300000.0,33560000.0,-2080000.0,,,-24160000.0,24160000.0,274750000.0,1372420000.0,712680000.0,146210000.0,146210000.0,1647170000.0,6528600000.0,8175770000.0,8175770000.0,2023-03-31
,,,,,,,,,,,,,,,91500000.0,91500000.0,1.5,1.5,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,2022-12-31
0.0,0.248775,978100000.0,0.0,0.0,584280000.0,166280000.0,7694460000.0,978100000.0,811820000.0,-34050000.0,34050000.0,584280000.0,584280000.0,9554970000.0,92742857.0,92742857.0,6.3,6.3,584280000.0,584280000.0,0.0,584280000.0,,584280000.0,,584280000.0,193490000.0,777770000.0,55610000.0,0.0,0.0,,-34050000.0,34050000.0,771740000.0,1860510000.0,941370000.0,166280000.0,166280000.0,2632250000.0,7694460000.0,10326710000.0,10326710000.0,2024-06-30 00:00:00
