Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,,554088000.0,696277000.0,1818299000.0,2515745000.0,1924816000.0,1818299000.0,1819468000.0,1900702000.0,1930987000.0,111519000.0,1819468000.0,1678929000.0,,,140539000.0,140539000.0,1358582000.0,91465000.0,,81234000.0,81234000.0,10231000.0,1267117000.0,59495000.0,,615043000.0,615043000.0,,3457000.0,499913000.0,,1843000.0,498070000.0,3289569000.0,97636000.0,2000.0,3045000.0,,1169000.0,,93420000.0,,,,,,,3191933000.0,647588000.0,,,955108000.0,,,,1347209000.0,,,242028000.0,99839000.0,142189000.0,,2023-09-30
12600000.0,12600000.0,863453000.0,889321000.0,1172555000.0,2063272000.0,1262286000.0,1172555000.0,1173951000.0,1265261000.0,1261552000.0,87601000.0,1173951000.0,1047951000.0,722458000.0,234078000.0,126000000.0,126000000.0,1618208000.0,100396000.0,9086000.0,91310000.0,91310000.0,9086000.0,1517812000.0,106678000.0,3326000.0,798011000.0,798011000.0,3457000.0,3457000.0,614732000.0,145892000.0,3326000.0,468840000.0,2879760000.0,99662000.0,18000.0,2517000.0,0.0,1396000.0,1396000.0,95731000.0,-70498000.0,166229000.0,4840000.0,72578000.0,88811000.0,0.0,2780098000.0,952822000.0,66033000.0,201799000.0,812563000.0,812563000.0,6913000.0,745029000.0,921893000.0,-2273000.0,924166000.0,25868000.0,66952000.0,25868000.0,25868000.0,2023-03-31
