Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investment Properties,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
13026700.0,13026700.0,,1328000.0,275391000.0,276719000.0,144893000.0,275391000.0,275391000.0,275391000.0,275391000.0,275391000.0,145124000.0,,,130267000.0,130267000.0,11229000.0,5139000.0,696000.0,,,,,6090000.0,1015000.0,298000.0,1328000.0,1328000.0,,684000.0,,684000.0,286620000.0,135637000.0,23000.0,,19236000.0,19236000.0,,66965000.0,32953000.0,,32953000.0,32953000.0,,,,150983000.0,1487000.0,,,62146000.0,1833000.0,85517000.0,82258000.0,3259000.0,,2024-03-31
13026700.0,13026700.0,1491000.0,2292000.0,273007000.0,275299000.0,104018000.0,273007000.0,273007000.0,273007000.0,273007000.0,273007000.0,142740000.0,,,130267000.0,130267000.0,11473000.0,7420000.0,1277000.0,,0.0,0.0,0.0,4053000.0,981000.0,,2292000.0,2292000.0,,423000.0,,423000.0,284480000.0,176409000.0,63000.0,,57629000.0,57629000.0,,67816000.0,34223000.0,,34223000.0,34223000.0,,,,108071000.0,793000.0,,,92000.0,1036000.0,106150000.0,105349000.0,801000.0,,2023-09-30
13026700.0,13026700.0,2226000.0,2955000.0,255132000.0,258087000.0,84824000.0,255132000.0,255132000.0,255132000.0,255132000.0,255132000.0,124865000.0,57543000.0,33334000.0,130267000.0,130267000.0,13193000.0,7431000.0,1277000.0,7431000.0,,,,5762000.0,536000.0,,2955000.0,2955000.0,515000.0,1206000.0,45000.0,1161000.0,268325000.0,177739000.0,483000.0,9039000.0,49231000.0,40000000.0,9231000.0,68667000.0,35134000.0,-7871000.0,43005000.0,179000.0,1146000.0,41680000.0,0.0,90586000.0,94000.0,6074000.0,224000.0,3318000.0,797000.0,80079000.0,79350000.0,729000.0,729000.0,2023-03-31
