Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investments In Other Ventures Under Equity Method,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Non Current Accrued Expenses,Investmentsin Associatesat Cost
,14121238383.0,14121238383.0,1222069800000.0,1326275600000.0,1758624400000.0,3068698400000.0,-579556600000.0,1758624400000.0,91739900000.0,1834162700000.0,2302091700000.0,1881629800000.0,47467100000.0,1834162700000.0,1696447100000.0,,137715600000.0,137715600000.0,2941990200000.0,777950900000.0,40615700000.0,,,189607000000.0,531248900000.0,63319900000.0,467929000000.0,14148200000.0,2164039300000.0,152408500000.0,795026700000.0,28420000000.0,766606700000.0,,106282600000.0,604084700000.0,,,9543700000.0,594541000000.0,4823620000000.0,3239137300000.0,49513700000.0,,,,394201900000.0,394201900000.0,,180970000000.0,,180970000000.0,75538300000.0,75527900000.0,10400000.0,2494763800000.0,,2494763800000.0,573168600000.0,1921595200000.0,,,,,1584482700000.0,52665500000.0,,11836500000.0,,,,1213758300000.0,,,,,,4929400000.0,8200000.0,138314500000.0,,,162970300000.0,150504400000.0,12465900000.0,,,2024-03-31,,
349677684.0,13771560699.0,14121238383.0,1058176500000.0,1154181800000.0,1594828600000.0,2732833200000.0,-437388400000.0,1594828600000.0,89513400000.0,1668164800000.0,2205407400000.0,1710018300000.0,41853500000.0,1668164800000.0,1530449200000.0,,137715600000.0,137715600000.0,2866215300000.0,835191500000.0,38065500000.0,,,179025000000.0,601732200000.0,64489600000.0,537242600000.0,14131700000.0,2031023800000.0,321059600000.0,552449600000.0,25023800000.0,527425800000.0,,103653800000.0,597968100000.0,,,38406600000.0,559561500000.0,4576233600000.0,2982598200000.0,42313400000.0,,,,292630700000.0,292630700000.0,,175523300000.0,,,73336200000.0,73325800000.0,10400000.0,2355954000000.0,,2355954000000.0,516421600000.0,1839532400000.0,,,,,1593635400000.0,51073600000.0,,11314700000.0,,,,1222462000000.0,,,,,,4319500000.0,,127377400000.0,,,177088200000.0,170596300000.0,6491900000.0,,,2023-09-30,,
349677684.0,13771560699.0,14121238383.0,1391184700000.0,1489770800000.0,1326213300000.0,2798350600000.0,-477928400000.0,1326213300000.0,88622600000.0,1397202400000.0,2030331800000.0,1432143400000.0,34941000000.0,1397202400000.0,1259486800000.0,11091000000.0,137715600000.0,137715600000.0,2985477500000.0,918894200000.0,5013400000.0,0.0,32065600000.0,168004200000.0,697898500000.0,64769100000.0,633129400000.0,13964400000.0,2066583300000.0,125431000000.0,791872300000.0,23853500000.0,768018800000.0,18278500000.0,101562800000.0,548237300000.0,214000000.0,500100000.0,182200000.0,547341000000.0,4417620900000.0,2828966000000.0,40709500000.0,17758000000.0,10009300000.0,0.0,9298200000.0,9298200000.0,0.0,408251700000.0,408251700000.0,,70989100000.0,70978700000.0,10400000.0,2257160000000.0,-695867800000.0,2953027800000.0,491839500000.0,263211400000.0,1938140200000.0,220542600000.0,39294100000.0,0.0,1588654900000.0,82200000.0,2181200000.0,9834300000.0,998600000.0,4177300000.0,14431700000.0,1211075800000.0,-2768700000.0,1098100000.0,574755100000.0,108468100000.0,529523200000.0,58348300000.0,,162712100000.0,-5215000000.0,167927100000.0,124806100000.0,114842600000.0,9963500000.0,3465100000.0,6498400000.0,2023-03-31,,
