Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
242869863.0,242869863.0,4444190000.0,14348620000.0,16018800000.0,10189060000.0,14348620000.0,4444190000.0,16018800000.0,16018800000.0,16018800000.0,16018800000.0,15775930000.0,,,242870000.0,242870000.0,9068760000.0,5340250000.0,583780000.0,,,218880000.0,3266490000.0,3266490000.0,45730000.0,3728510000.0,1304060000.0,1177700000.0,1177700000.0,,3420000.0,954270000.0,,,63480000.0,890790000.0,25087560000.0,11169990000.0,102970000.0,,4490000.0,4367370000.0,4367370000.0,,1670180000.0,1513070000.0,157110000.0,4964680000.0,,4964680000.0,0.0,4964680000.0,,,,,13917570000.0,507410000.0,,,,,1386300000.0,,,,,5645210000.0,,,6378650000.0,6161680000.0,216970000.0,,2024-03-31
242800640.0,242800640.0,3650240000.0,11592960000.0,13278920000.0,8881600000.0,11592960000.0,3650240000.0,13278920000.0,13278920000.0,13278920000.0,13278920000.0,13036120000.0,,,242800000.0,242800000.0,7792010000.0,4488360000.0,515970000.0,,,240420000.0,2594100000.0,2594100000.0,38970000.0,3303650000.0,1266530000.0,1056140000.0,1056140000.0,,2470000.0,616990000.0,,,42050000.0,574940000.0,21070930000.0,8885680000.0,109470000.0,,7220000.0,2518750000.0,2518750000.0,,1685960000.0,1528850000.0,157110000.0,4235620000.0,,4235620000.0,0.0,4235620000.0,,,,,12185250000.0,507820000.0,,,,,1532300000.0,,,,,5368360000.0,,,4776770000.0,4706080000.0,70690000.0,,2023-09-30
242779990.0,242779990.0,2933810000.0,12296870000.0,13998800000.0,9411160000.0,12296870000.0,2933810000.0,13998800000.0,13998800000.0,13998800000.0,13998800000.0,76640000.0,13568030000.0,103730000.0,242780000.0,242780000.0,7661360000.0,3694700000.0,439710000.0,35190000.0,439710000.0,197310000.0,1958310000.0,1958310000.0,35190000.0,3966660000.0,1719630000.0,975500000.0,975500000.0,77820000.0,1070520000.0,952560000.0,50470000.0,50000.0,43220000.0,858820000.0,21660160000.0,8282340000.0,667320000.0,677660000.0,7420000.0,1694750000.0,364710000.0,1330040000.0,1701930000.0,1544820000.0,157110000.0,4142810000.0,-3435050000.0,7577860000.0,638640000.0,3504170000.0,319420000.0,6530770000.0,89030000.0,0.0,13377820000.0,364460000.0,50000.0,0.0,50000.0,91050000.0,1736460000.0,1202200000.0,284710000.0,249550000.0,14380000.0,4734430000.0,-42310000.0,4776740000.0,6436940000.0,6339490000.0,97450000.0,97450000.0,2023-03-31
