Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Impairment Of Capital Assets
-13823529.411765,0.089184,1417000000.0,-155000000.0,-155000000.0,960000000.0,159000000.0,3768000000.0,1262000000.0,1103000000.0,-49000000.0,49000000.0,1101176470.588235,960000000.0,6953000000.0,,,,,960000000.0,960000000.0,0.0,960000000.0,960000000.0,960000000.0,94000000.0,1054000000.0,296000000.0,-155000000.0,,-49000000.0,49000000.0,962000000.0,3185000000.0,1752000000.0,159000000.0,159000000.0,4147000000.0,3768000000.0,7915000000.0,7915000000.0,2024-03-31,
0.0,0.250403,1425000000.0,0.0,0.0,931000000.0,152000000.0,5284000000.0,1425000000.0,1273000000.0,-31000000.0,31000000.0,931000000.0,931000000.0,8422000000.0,44932432.0,44932432.0,20.72,20.72,931000000.0,931000000.0,0.0,931000000.0,931000000.0,931000000.0,311000000.0,1242000000.0,146000000.0,0.0,,-31000000.0,31000000.0,1127000000.0,3138000000.0,1847000000.0,152000000.0,152000000.0,4265000000.0,5284000000.0,9549000000.0,9549000000.0,2023-12-31,
0.0,0.270854,3210000000.0,0.0,0.0,2229000000.0,116000000.0,10091000000.0,3210000000.0,3094000000.0,-37000000.0,37000000.0,2229000000.0,2229000000.0,13239000000.0,44939516.0,44939516.0,49.6,49.6,2229000000.0,2229000000.0,0.0,2229000000.0,2229000000.0,2229000000.0,828000000.0,3057000000.0,161000000.0,0.0,,-37000000.0,37000000.0,2933000000.0,3148000000.0,2024000000.0,116000000.0,116000000.0,6081000000.0,10091000000.0,16172000000.0,16172000000.0,2023-09-30,
0.0,0.191086,4453000000.0,0.0,0.0,3285000000.0,313000000.0,9973000000.0,4453000000.0,4140000000.0,-79000000.0,79000000.0,3285000000.0,3285000000.0,13463000000.0,44944589.0,44944589.0,73.09,73.09,3285000000.0,3285000000.0,0.0,3285000000.0,3285000000.0,3285000000.0,776000000.0,4061000000.0,207000000.0,0.0,,-79000000.0,79000000.0,3933000000.0,3490000000.0,2244000000.0,313000000.0,313000000.0,7423000000.0,9973000000.0,17396000000.0,17396000000.0,2023-06-30,
15040983.606557,0.188012,2216000000.0,80000000.0,80000000.0,1585000000.0,271000000.0,5170000000.0,2296000000.0,2025000000.0,267000000.0,73000000.0,1520040983.606557,1585000000.0,5939000000.0,,,,,1585000000.0,1585000000.0,0.0,1585000000.0,1585000000.0,1585000000.0,367000000.0,1952000000.0,-311000000.0,-55000000.0,-36000000.0,267000000.0,73000000.0,1938000000.0,769000000.0,-4615000000.0,271000000.0,256000000.0,2707000000.0,5170000000.0,7877000000.0,7877000000.0,2023-03-31,
,,,,,,,,,,,,,,,44938189.0,44938189.0,29.93,29.93,,,,,,,,,,,-1007000000.0,,,,,,,,,,,,2022-12-31,
0.0,0.19506,3415000000.0,0.0,0.0,2542000000.0,215000000.0,9845000000.0,3415000000.0,3200000000.0,-42000000.0,42000000.0,2542000000.0,2542000000.0,13387000000.0,44943423.0,44943423.0,56.56,56.56,2542000000.0,2542000000.0,0.0,2542000000.0,2542000000.0,2542000000.0,616000000.0,3158000000.0,275000000.0,0.0,,-42000000.0,42000000.0,2925000000.0,3542000000.0,2331000000.0,215000000.0,215000000.0,6467000000.0,9845000000.0,16312000000.0,16312000000.0,2024-06-30 00:00:00,0.0
