Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Trading Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
5262400.0,5262400.0,,1914267000.0,772707000.0,773328000.0,537427000.0,772707000.0,,773328000.0,773328000.0,773328000.0,773328000.0,720039000.0,,53289000.0,53289000.0,2198672000.0,490214000.0,,,46702000.0,430517000.0,,,12995000.0,1708458000.0,97121000.0,,1483750000.0,,,,5608000.0,121979000.0,,,0.0,121979000.0,2972000000.0,726115000.0,190778000.0,,82000.0,,,0.0,621000.0,,533234000.0,,533234000.0,0.0,533234000.0,,,,,2245885000.0,195908000.0,,,341271000.0,,,,,,51397000.0,1608572000.0,,,48737000.0,48279000.0,458000.0,,2023-09-30
5262400.0,5262400.0,1559361000.0,1571523000.0,741300000.0,2301793000.0,575818000.0,741300000.0,11527000.0,741797000.0,1088865000.0,741797000.0,741797000.0,688508000.0,686287000.0,53289000.0,53289000.0,1960074000.0,404513000.0,1000.0,12209000.0,35990000.0,356313000.0,9245000.0,347068000.0,12209000.0,1555561000.0,-1000.0,0.0,1215210000.0,2282000.0,1212928000.0,3739000.0,3739000.0,279778000.0,34101000.0,1152000.0,0.0,244525000.0,2701871000.0,570492000.0,-1000.0,15395000.0,82000.0,18000.0,64000.0,0.0,497000.0,497000.0,553374000.0,-764610000.0,1317984000.0,148119000.0,405255000.0,1050223000.0,89486000.0,30156000.0,0.0,2131379000.0,2941000.0,7403000.0,125867000.0,564719000.0,1000.0,156256000.0,22946000.0,385516000.0,918000.0,205634000.0,1223262000.0,0.0,1223262000.0,635000.0,133361000.0,635000.0,635000.0,2023-03-31
