Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Insurance And Claims,Total Revenue,Operating Revenue,Date
0.0,0.4,0.0,0.0,617500000.0,320400000.0,8639400000.0,93000000.0,8732400000.0,617500000.0,617500000.0,,,,,617500000.0,617500000.0,617500000.0,-1039000000.0,1656400000.0,1656400000.0,-535400000.0,1121000000.0,0.0,2797500000.0,51906800000.0,148100000.0,320400000.0,320400000.0,47274400000.0,53027500000.0,53027500000.0,2024-03-31
0.0,0.3,0.0,0.0,393700000.0,292400000.0,8054900000.0,222600000.0,8277500000.0,393700000.0,393700000.0,251108902.0,251108902.0,3.22,3.22,393700000.0,393700000.0,393700000.0,-415000000.0,808700000.0,808700000.0,1061600000.0,1870300000.0,0.0,8661000000.0,53138700000.0,2385100000.0,292400000.0,292400000.0,46268000000.0,55092100000.0,55092100000.0,2023-12-31
0.0,0.066615,0.0,0.0,-2627000000.0,269300000.0,7985100000.0,79800000.0,8064900000.0,-2627000000.0,-2627000000.0,275655824.0,275655824.0,-9.53,-9.53,-2627000000.0,-2627000000.0,-2627000000.0,-232900000.0,-2393200000.0,-2393200000.0,-170800000.0,-2564000000.0,0.0,4322700000.0,56626600000.0,6005700000.0,269300000.0,269300000.0,46126600000.0,59605900000.0,59605900000.0,2023-09-30
-10819601.752658,0.009292,-1164400000.0,-1164400000.0,-15025700000.0,274400000.0,7294400000.0,76800000.0,7371200000.0,-13872119601.75266,-15025700000.0,,,,,-14834200000.0,-14834200000.0,-15025700000.0,-35300000.0,-14990700000.0,-14990700000.0,-140600000.0,-15131300000.0,-1164400000.0,-4764100000.0,42972100000.0,-10372800000.0,274400000.0,274400000.0,33923200000.0,42092700000.0,42092700000.0,2023-03-31
0.0,0.3,0.0,0.0,-7000000.0,277000000.0,7071600000.0,59300000.0,7130900000.0,-7000000.0,-7000000.0,252708902.0,252708902.0,0.63,0.63,-7000000.0,-7000000.0,-7000000.0,-165000000.0,158300000.0,158300000.0,109500000.0,267800000.0,0.0,5758400000.0,48400600000.0,6565200000.0,277000000.0,277000000.0,37602000000.0,50225300000.0,50225300000.0,2022-12-31
0.0,0.154469,0.0,0.0,2113900000.0,296500000.0,8785900000.0,127200000.0,8913100000.0,2113900000.0,2113900000.0,195369686.0,195369686.0,10.82,10.82,2113900000.0,2113900000.0,2113900000.0,-602200000.0,2716100000.0,2716100000.0,496200000.0,3212300000.0,0.0,8149100000.0,56360000000.0,5234500000.0,296500000.0,296500000.0,46587300000.0,59597600000.0,59597600000.0,2024-06-30 00:00:00
0.0,0.022103,0.0,0.0,3941600000.0,261300000.0,7804500000.0,-7500000.0,7797000000.0,3941600000.0,3941600000.0,227838150.0,227838150.0,17.3,17.3,3941600000.0,3941600000.0,3941600000.0,-403800000.0,4344600000.0,4344600000.0,98200000.0,4442800000.0,0.0,9424400000.0,52006300000.0,5532500000.0,261300000.0,261300000.0,41946800000.0,56141200000.0,56141200000.0,2023-06-30 00:00:00
