Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-12360000.0,0.4,698400000.0,-30900000.0,-30900000.0,-699200000.0,850000000.0,1814100000.0,667500000.0,-182500000.0,-309500000.0,309500000.0,-680660000.0,-699200000.0,7537700000.0,,,,,-699200000.0,-699200000.0,0.0,-699200000.0,0.0,-699200000.0,-699200000.0,207200000.0,-492000000.0,70700000.0,-30900000.0,,,-309500000.0,309500000.0,-990600000.0,5723600000.0,1665900000.0,850000000.0,850000000.0,4733000000.0,1814100000.0,6547100000.0,6547100000.0,2024-03-31
0.0,0.100468,471600000.0,0.0,0.0,-596300000.0,803700000.0,1181200000.0,471600000.0,-332100000.0,-330800000.0,330800000.0,-596300000.0,-596300000.0,6139700000.0,156921053.0,156921053.0,-3.8,-3.8,-596300000.0,-596300000.0,0.0,-596300000.0,0.0,-596300000.0,-596300000.0,-66600000.0,-662900000.0,60500000.0,0.0,,,-330800000.0,330800000.0,371200000.0,4958500000.0,1062800000.0,803700000.0,803700000.0,5329700000.0,1181200000.0,6510900000.0,6510900000.0,2023-12-31
-9150000.0,0.3,693200000.0,-30500000.0,-30500000.0,-409000000.0,750400000.0,1343500000.0,662700000.0,-87700000.0,-274900000.0,274900000.0,-387650000.0,-409000000.0,6007800000.0,156704981.0,156704981.0,-2.61,-2.61,-409000000.0,-409000000.0,0.0,-409000000.0,0.0,-409000000.0,-409000000.0,46400000.0,-362600000.0,84700000.0,-30500000.0,,30500000.0,-274900000.0,274900000.0,-141900000.0,4664300000.0,1083300000.0,750400000.0,750400000.0,4522400000.0,1343500000.0,5865900000.0,5865900000.0,2023-09-30
0.0,0.3,1283900000.0,0.0,0.0,170000000.0,704500000.0,1633100000.0,1283900000.0,579400000.0,-284500000.0,284500000.0,170000000.0,170000000.0,6719700000.0,157407407.0,157407407.0,1.08,1.08,170000000.0,170000000.0,0.0,170000000.0,0.0,170000000.0,170000000.0,124900000.0,294900000.0,65300000.0,0.0,,,-284500000.0,284500000.0,514100000.0,5086600000.0,1430800000.0,704500000.0,704500000.0,5600700000.0,1633100000.0,7233800000.0,7233800000.0,2023-06-30
-94169589.041096,0.192694,501400000.0,-488700000.0,-488700000.0,-707200000.0,757400000.0,1967900000.0,12700000.0,-744700000.0,-19800000.0,131300000.0,-312669589.041096,-707200000.0,5888500000.0,,,,,-707200000.0,-707200000.0,0.0,-707200000.0,0.0,-707200000.0,-707200000.0,-168800000.0,-876000000.0,-118200000.0,-491900000.0,491900000.0,,-19800000.0,131300000.0,297100000.0,3920600000.0,-908100000.0,757400000.0,125600000.0,4217700000.0,1967900000.0,6185600000.0,6185600000.0,2023-03-31
,,,,,,,,,,,,,,,156533333.0,156533333.0,3.0,3.0,,,,,,,,,,,,25300000.0,,,,,,,,,,,,,2022-12-31
-16320000.0,0.3,304000000.0,-54400000.0,-54400000.0,-775700000.0,705900000.0,663500000.0,249600000.0,-456300000.0,-319300000.0,319300000.0,-737620000.0,-775700000.0,5654000000.0,156707071.0,156707071.0,-4.95,-4.95,-775700000.0,-775700000.0,0.0,-775700000.0,0.0,-775700000.0,-775700000.0,100000.0,-775600000.0,14300000.0,-54400000.0,,,-319300000.0,319300000.0,-416200000.0,4990500000.0,1116400000.0,705900000.0,705900000.0,4574300000.0,663500000.0,5237800000.0,5237800000.0,2024-06-30 00:00:00
