Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.0,-1857600000.0,19490000.0,19490000.0,-2671560000.0,474150000.0,11159030000.0,-1838110000.0,-2312260000.0,-143070000.0,359300000.0,216230000.0,-2691050000.0,-2671560000.0,14785030000.0,117500000.0,4410829885.0,4410829885.0,-0.605682,-0.605682,-2671560000.0,-2671560000.0,0.0,-2671560000.0,-2671560000.0,-2671560000.0,0.0,-2671560000.0,27340000.0,-17710000.0,17710000.0,0.0,0.0,-143070000.0,359300000.0,216230000.0,-2562520000.0,3626000000.0,1150880000.0,474150000.0,133350000.0,340800000.0,108180000.0,822540000.0,514280000.0,308260000.0,117500000.0,1063480000.0,11159030000.0,12222510000.0,12222510000.0,2023-06-30
0.0,0.0,-1310000000.0,-230000000.0,-230000000.0,-3470000000.0,1260000000.0,13410000000.0,-1540000000.0,-2800000000.0,-670000000.0,670000000.0,,-3240000000.0,-3470000000.0,19750000000.0,,4127954806.0,4127954806.0,-0.84061,-0.84061,-3470000000.0,-3470000000.0,0.0,-3470000000.0,-3470000000.0,-3470000000.0,0.0,-3470000000.0,740000000.0,-230000000.0,,,,-670000000.0,670000000.0,,-3310000000.0,6340000000.0,3850000000.0,1260000000.0,,1260000000.0,,,,,,3030000000.0,13410000000.0,16440000000.0,16440000000.0,2024-06-30 00:00:00
