Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,1544167185.0,1544167185.0,1269444000.0,1450650000.0,3070800000.0,4794963000.0,2420862000.0,3070800000.0,7151000.0,3351464000.0,3624659000.0,3470828000.0,119364000.0,3351464000.0,1807297000.0,,,1544167000.0,1544167000.0,3872802000.0,293686000.0,,,0.0,280346000.0,7151000.0,273195000.0,8253000.0,3579116000.0,83713000.0,,1170304000.0,1170304000.0,,3520000.0,2321579000.0,,31955000.0,2289624000.0,7343630000.0,1343652000.0,72265000.0,,13208000.0,83330000.0,83330000.0,,,,37529000.0,280664000.0,189000.0,280475000.0,788143000.0,,788143000.0,9627000.0,778516000.0,,,,,5999978000.0,2343093000.0,,,1316502000.0,,,,,2165737000.0,,,174646000.0,591000.0,174055000.0,,2024-03-31
0.0,1519056075.0,1519056075.0,1091133000.0,1424635000.0,2804505000.0,4509806000.0,2141281000.0,2804505000.0,,3085171000.0,3338383000.0,3250865000.0,165694000.0,3085171000.0,2578819000.0,,,506352000.0,506352000.0,3460032000.0,265847000.0,-2000.0,,0.0,253212000.0,,253212000.0,7742000.0,3194185000.0,73259000.0,,1171423000.0,1171423000.0,,3280000.0,1946223000.0,,54692000.0,1891531000.0,6710897000.0,1375430000.0,48316000.0,,10426000.0,149266000.0,149266000.0,,,,38275000.0,280666000.0,191000.0,280475000.0,781837000.0,,781837000.0,19572000.0,762265000.0,,,,,5335466000.0,1133308000.0,,,1263621000.0,,,,,2601248000.0,,,337289000.0,3787000.0,333502000.0,,2023-09-30
,1397468475.0,1397468475.0,1835914000.0,1927834000.0,2220434000.0,4428984000.0,1393429000.0,2220434000.0,,2501150000.0,2820978000.0,2635154000.0,134004000.0,2501150000.0,245902000.0,1077460000.0,542946000.0,465823000.0,465823000.0,4313969000.0,331557000.0,-1000.0,7027000.0,0.0,319828000.0,,319828000.0,7027000.0,3982412000.0,7004000.0,80158000.0,1608006000.0,1608006000.0,3280000.0,3280000.0,2181316000.0,22383000.0,80158000.0,2158933000.0,6949123000.0,1573282000.0,3769000.0,285056000.0,5591000.0,739000.0,739000.0,130028000.0,62517000.0,67511000.0,38992000.0,280716000.0,241000.0,280475000.0,756527000.0,-196214000.0,952741000.0,12787000.0,11422000.0,575964000.0,157992000.0,194576000.0,0.0,5375841000.0,952007000.0,34192000.0,819701000.0,1970649000.0,1408958000.0,262943000.0,298748000.0,133042000.0,2326337000.0,-3260000.0,2329597000.0,91920000.0,737000.0,91920000.0,91920000.0,2023-03-31
