Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.0,-15256000.0,0.0,0.0,-30484000.0,696000.0,5917000.0,-15256000.0,-15952000.0,-14532000.0,14532000.0,-30484000.0,-30484000.0,17568000.0,-19858000.0,121936000.0,121936000.0,-0.25,-0.25,-30484000.0,-30484000.0,0.0,-30484000.0,-30484000.0,0.0,-30484000.0,0.0,-30484000.0,3906000.0,0.0,,-14532000.0,14532000.0,-8731000.0,11651000.0,10955000.0,696000.0,696000.0,2920000.0,5917000.0,8837000.0,8837000.0,2023-12-31
0.0,0.0,2658000.0,0.0,0.0,-12530000.0,678000.0,5760000.0,2658000.0,1980000.0,-14510000.0,14510000.0,-12530000.0,-12530000.0,25590000.0,-11743000.0,125300000.0,125300000.0,-0.1,-0.1,-12530000.0,-12530000.0,0.0,-12530000.0,-12530000.0,0.0,-12530000.0,0.0,-12530000.0,13723000.0,0.0,5427000.0,-14510000.0,14510000.0,-11743000.0,19830000.0,19152000.0,678000.0,678000.0,8087000.0,5760000.0,13847000.0,13847000.0,2023-06-30
0.0,0.0,30865000.0,-3420000.0,-3420000.0,13926000.0,799000.0,6654000.0,27445000.0,26646000.0,-5510000.0,12720000.0,17346000.0,13926000.0,31620000.0,,,,,,13926000.0,13926000.0,0.0,13926000.0,13926000.0,,13926000.0,0.0,13926000.0,-5218000.0,-3420000.0,-12074000.0,-5510000.0,12720000.0,-18694000.0,24966000.0,-27633000.0,799000.0,689000.0,6272000.0,6654000.0,12926000.0,12926000.0,2023-03-31
0.0,0.0,-168329000.0,0.0,0.0,-181851000.0,802000.0,6119000.0,-168329000.0,-169131000.0,-12720000.0,12720000.0,-181851000.0,-181851000.0,37346000.0,-170761000.0,122872297.0,122872297.0,-1.48,-1.48,-181851000.0,-181851000.0,0.0,-181851000.0,-181851000.0,0.0,-181851000.0,0.0,-181851000.0,1630000.0,0.0,15362000.0,-12720000.0,12720000.0,-27320000.0,31227000.0,30425000.0,802000.0,802000.0,3907000.0,6119000.0,10026000.0,10026000.0,2022-12-31
0.0,0.0,557000.0,0.0,0.0,-18063000.0,2089000.0,5647000.0,557000.0,-1532000.0,-16531000.0,16531000.0,-18063000.0,-18063000.0,15807000.0,-3865000.0,120420000.0,120420000.0,-0.15,-0.15,-18063000.0,-18063000.0,0.0,-18063000.0,-18063000.0,0.0,-18063000.0,0.0,-18063000.0,2333000.0,0.0,,-16531000.0,16531000.0,-2948000.0,10160000.0,8071000.0,2089000.0,2089000.0,7212000.0,5647000.0,12859000.0,12859000.0,2024-06-30 00:00:00
