Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Other Special Charges
0.0,0.203465,128734000.0,0.0,0.0,78207000.0,30515000.0,2242628000.0,128734000.0,98219000.0,-35000.0,35000.0,78207000.0,78207000.0,2905986000.0,,,,,78207000.0,78207000.0,0.0,78207000.0,78207000.0,78207000.0,19977000.0,98184000.0,61346000.0,0.0,0.0,-35000.0,35000.0,36873000.0,663358000.0,340459000.0,30515000.0,30515000.0,700231000.0,2242628000.0,2942859000.0,2942859000.0,2024-03-31,
0.0,0.144284,132375000.0,0.0,0.0,86441000.0,31327000.0,2359819000.0,132375000.0,101048000.0,-32000.0,32000.0,86441000.0,86441000.0,3030263000.0,40018981.0,40018981.0,2.16,2.16,86441000.0,86441000.0,0.0,86441000.0,86441000.0,86441000.0,14575000.0,101016000.0,98161000.0,0.0,0.0,-32000.0,32000.0,2887000.0,670444000.0,344669000.0,31327000.0,31327000.0,673331000.0,2359819000.0,3033150000.0,3033150000.0,2023-12-31,
-3795900.0,0.3,55073000.0,-12653000.0,-12653000.0,15410000.0,30838000.0,2253189000.0,42420000.0,11582000.0,-9000.0,9000.0,24267100.0,15410000.0,2920889000.0,39512821.0,39512821.0,0.39,0.39,15410000.0,15410000.0,0.0,15410000.0,15410000.0,15410000.0,-3837000.0,11573000.0,72530000.0,-12653000.0,12653000.0,-9000.0,9000.0,-48295000.0,667700000.0,346047000.0,30838000.0,30838000.0,619405000.0,2253189000.0,2872594000.0,2872594000.0,2023-09-30,
0.0,0.161224,182398000.0,0.0,0.0,127603000.0,30219000.0,2225988000.0,182398000.0,152179000.0,-49000.0,49000.0,127603000.0,127603000.0,2838284000.0,40000940.0,40000940.0,3.19,3.19,127603000.0,127603000.0,0.0,127603000.0,127603000.0,127603000.0,24527000.0,152130000.0,111782000.0,0.0,,-49000.0,49000.0,40397000.0,612296000.0,314474000.0,30219000.0,30219000.0,652693000.0,2225988000.0,2878681000.0,2878681000.0,2023-06-30,
52401822.810278,0.243788,95608000.0,214948000.0,214948000.0,211982000.0,30172000.0,2956658000.0,310556000.0,280384000.0,78609000.0,63000.0,49435822.810278,211982000.0,2797821000.0,,,,,211982000.0,211982000.0,0.0,211982000.0,211982000.0,211982000.0,68339000.0,280321000.0,-146773000.0,111314000.0,,78609000.0,63000.0,131189000.0,-158837000.0,-504080000.0,30172000.0,20911000.0,-27648000.0,2956658000.0,2929010000.0,2929010000.0,2023-03-31,
,,,,,,,,,,,,,,,39664557.0,39664557.0,0.79,0.79,,,,,,,,,,,10348000.0,,,,,,,,,,,,2022-12-31,
0.0,0.112596,163927000.0,0.0,0.0,119189000.0,29585000.0,2404698000.0,163927000.0,134342000.0,-30000.0,30000.0,119189000.0,119189000.0,3064948000.0,39996309.0,39996309.0,2.98,2.98,119189000.0,119189000.0,0.0,119189000.0,119189000.0,119189000.0,15123000.0,134312000.0,91760000.0,0.0,12653000.0,-30000.0,30000.0,42582000.0,660250000.0,336290000.0,29585000.0,29585000.0,702832000.0,2404698000.0,3107530000.0,3107530000.0,2024-06-30 00:00:00,-12653000.0
