Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.4,499675000.0,,,511019000.0,49086000.0,569579000.0,499675000.0,450589000.0,-7513000.0,7513000.0,511019000.0,511019000.0,678127000.0,,,,,511019000.0,511019000.0,0.0,511019000.0,511019000.0,511019000.0,-67943000.0,443076000.0,443141000.0,,,-7513000.0,7513000.0,7396000.0,108548000.0,13586000.0,49086000.0,49086000.0,115944000.0,569579000.0,685523000.0,685523000.0,2024-03-31
0.0,0.001328,105783000.0,,,55644000.0,47837000.0,510783000.0,105783000.0,57946000.0,-2228000.0,2228000.0,55644000.0,55644000.0,650358000.0,50129730.0,50129730.0,1.11,1.11,55644000.0,55644000.0,0.0,55644000.0,55644000.0,55644000.0,74000.0,55718000.0,169352000.0,,,-2228000.0,2228000.0,-111406000.0,139575000.0,43527000.0,47837000.0,47837000.0,28169000.0,510783000.0,538952000.0,538952000.0,2023-12-31
0.0,0.0,-56684000.0,0.0,0.0,-116599000.0,58916000.0,493036000.0,-56684000.0,-115600000.0,-999000.0,999000.0,-116599000.0,-116599000.0,630907000.0,50042489.0,50042489.0,-2.33,-2.33,-116599000.0,-116599000.0,0.0,-116599000.0,-116599000.0,-116599000.0,0.0,-116599000.0,5764000.0,0.0,0.0,-999000.0,999000.0,-121364000.0,137871000.0,30857000.0,58916000.0,58916000.0,16507000.0,493036000.0,509543000.0,509543000.0,2023-09-30
0.0,0.0,10540000.0,0.0,0.0,-48213000.0,57473000.0,323676000.0,10540000.0,-46933000.0,-1280000.0,1280000.0,-48213000.0,-48213000.0,515182000.0,50221875.0,50221875.0,-0.96,-0.96,-48213000.0,-48213000.0,0.0,-48213000.0,-48213000.0,-48213000.0,0.0,-48213000.0,9274000.0,0.0,,-1280000.0,1280000.0,-56207000.0,191506000.0,87337000.0,57473000.0,57473000.0,135299000.0,323676000.0,458975000.0,458975000.0,2023-06-30
0.0,0.0,-125718000.0,404204000.0,404204000.0,234551000.0,42423000.0,529890000.0,278486000.0,236063000.0,3084000.0,1512000.0,-169653000.0,234551000.0,594389000.0,,,,,234551000.0,234551000.0,0.0,234551000.0,234551000.0,234551000.0,0.0,234551000.0,-2334000.0,404204000.0,,3084000.0,1512000.0,-170839000.0,64499000.0,-44544000.0,42423000.0,42017000.0,-106340000.0,529890000.0,423550000.0,423550000.0,2023-03-31
,,,0.0,0.0,,,,,,,,,,,49927273.0,49927273.0,2.2,2.2,,,,,,,,,,0.0,,,,,,,,,,,,,2022-12-31
0.0,0.013296,624922000.0,0.0,0.0,563841000.0,49889000.0,207403000.0,624922000.0,575033000.0,-3594000.0,3594000.0,563841000.0,563841000.0,351910000.0,50030257.0,50030257.0,11.27,11.27,563841000.0,563841000.0,0.0,563841000.0,563841000.0,563841000.0,7598000.0,571439000.0,652611000.0,0.0,,-3594000.0,3594000.0,-77566000.0,144507000.0,51480000.0,49889000.0,49889000.0,66941000.0,207403000.0,274344000.0,274344000.0,2024-06-30 00:00:00
