Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,80000000.0,80000000.0,375100000.0,480700000.0,727800000.0,1211200000.0,356600000.0,727800000.0,,730500000.0,773500000.0,730500000.0,730500000.0,650500000.0,,,80000000.0,80000000.0,862000000.0,49100000.0,,43000000.0,,43000000.0,2200000.0,812900000.0,79300000.0,,437700000.0,,437700000.0,,4000000.0,289100000.0,,4500000.0,284600000.0,1592500000.0,423000000.0,120300000.0,,600000.0,800000.0,800000.0,2700000.0,2700000.0,295000000.0,,295000000.0,3900000.0,291100000.0,,,,,1169500000.0,248800000.0,,,396300000.0,,,,1300000.0,0.0,353500000.0,,,169600000.0,64000000.0,105600000.0,,2024-03-31
0.0,80000000.0,80000000.0,384900000.0,413600000.0,701800000.0,1115700000.0,458400000.0,701800000.0,,702100000.0,759600000.0,702100000.0,702100000.0,622100000.0,,,80000000.0,80000000.0,715600000.0,68000000.0,,57500000.0,,57500000.0,3300000.0,647600000.0,114100000.0,,356100000.0,,356100000.0,,23000000.0,146600000.0,,13900000.0,132700000.0,1417700000.0,311700000.0,67400000.0,,2800000.0,600000.0,600000.0,300000.0,,237500000.0,,237500000.0,5200000.0,232300000.0,,,,,1106000000.0,214600000.0,,,408700000.0,,,,1100000.0,0.0,402300000.0,,,79300000.0,50600000.0,28700000.0,,2023-09-30
,80000000.0,80000000.0,386300000.0,477300000.0,649900000.0,1118400000.0,409100000.0,649900000.0,10400000.0,651500000.0,722600000.0,651500000.0,651500000.0,571500000.0,468400000.0,99000000.0,80000000.0,80000000.0,677500000.0,78400000.0,3300000.0,75100000.0,4000000.0,71100000.0,3300000.0,599100000.0,25100000.0,0.0,402200000.0,6400000.0,395800000.0,6600000.0,14700000.0,123900000.0,4200000.0,0.0,119700000.0,1329000000.0,320800000.0,67600000.0,4500000.0,2600000.0,600000.0,600000.0,1600000.0,1600000.0,245100000.0,-636700000.0,881800000.0,0.0,61400000.0,698000000.0,121400000.0,1000000.0,0.0,1008200000.0,2800000.0,0.0,182200000.0,327900000.0,57000000.0,191100000.0,79800000.0,46400000.0,300000.0,341900000.0,-800000.0,342700000.0,106700000.0,26100000.0,80600000.0,80600000.0,2023-03-31
