Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
24000000.0,24000000.0,395643000.0,396868000.0,416969000.0,814239000.0,153488000.0,416969000.0,417371000.0,417371000.0,417371000.0,417371000.0,177371000.0,,,240000000.0,240000000.0,874897000.0,170439000.0,,0.0,11842000.0,704458000.0,39973000.0,396868000.0,396868000.0,,1952000.0,123430000.0,,,2128000.0,121302000.0,1292268000.0,434322000.0,314870000.0,,641000.0,82571000.0,,402000.0,,35838000.0,,35838000.0,0.0,35838000.0,,,,,857946000.0,4437000.0,,,136307000.0,,,,,267514000.0,,,449688000.0,448463000.0,1225000.0,,,2024-03-31
24000000.0,24000000.0,400171000.0,401585000.0,415287000.0,817287000.0,145776000.0,415287000.0,415702000.0,415702000.0,415702000.0,415702000.0,175702000.0,,,240000000.0,240000000.0,900261000.0,175475000.0,1000.0,,,724786000.0,47423000.0,401585000.0,401585000.0,,12969000.0,126346000.0,,,2128000.0,124218000.0,1315963000.0,445401000.0,323327000.0,,641000.0,82571000.0,,415000.0,415000.0,38447000.0,,38447000.0,2012000.0,36435000.0,,,,,870562000.0,8723000.0,,,141479000.0,,,,,266033000.0,,,454327000.0,452913000.0,1414000.0,,,2023-09-30
24000000.0,24000000.0,389351000.0,390154000.0,435925000.0,826494000.0,163871000.0,435925000.0,436340000.0,436340000.0,436340000.0,436340000.0,3000.0,-424663000.0,621000000.0,240000000.0,240000000.0,865388000.0,161814000.0,153968000.0,0.0,,703574000.0,16501000.0,390154000.0,390154000.0,13101000.0,13101000.0,283818000.0,132338000.0,0.0,55292000.0,96188000.0,1301728000.0,434283000.0,-1000.0,1460000.0,641000.0,82571000.0,82571000.0,415000.0,415000.0,37209000.0,-99077000.0,136286000.0,15045000.0,22161000.0,58770000.0,54931000.0,7540000.0,0.0,867445000.0,4854000.0,0.0,4854000.0,167377000.0,76173000.0,2382000.0,88822000.0,435601000.0,234031000.0,-37442000.0,271473000.0,25582000.0,24779000.0,803000.0,0.0,803000.0,2023-03-31
