Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Additional Paid In Capital,Non Current Pension And Other Postretirement Benefit Plans,Dividends Payable,Restricted Cash
,,12373100000.0,14931100000.0,12270600000.0,42015200000.0,-2540900000.0,12270600000.0,2117800000.0,29201900000.0,38647800000.0,29806900000.0,605000000.0,29201900000.0,28658400000.0,,543500000.0,543500000.0,23588500000.0,12299600000.0,1700000.0,,177000000.0,11188200000.0,1742300000.0,9445900000.0,216900000.0,11288900000.0,717600000.0,,3742900000.0,375500000.0,3367400000.0,,291200000.0,3884200000.0,,8900000.0,3875300000.0,53395400000.0,44647400000.0,72100000.0,,2251700000.0,5313300000.0,5313300000.0,,3501600000.0,,504600000.0,16931300000.0,16931300000.0,,15506200000.0,,15506200000.0,1614000000.0,13892200000.0,,,,,8748000000.0,954900000.0,,3393700000.0,,,,,11400000.0,4200000.0,3637700000.0,,,746100000.0,305900000.0,440200000.0,,,2024-03-31,,,,
108697341.0,108697341.0,3633842000.0,5726522000.0,25907010000.0,32800382000.0,15128907000.0,25907010000.0,1545944000.0,28619804000.0,31231806000.0,28689560000.0,69756000.0,28619804000.0,28076367000.0,,543437000.0,543437000.0,11392276000.0,4410473000.0,1843000.0,,88181000.0,3915541000.0,1303539000.0,2612002000.0,138652000.0,6981803000.0,884862000.0,,1810981000.0,242405000.0,1568576000.0,,180460000.0,2597950000.0,,63149000.0,2534801000.0,40081836000.0,17971126000.0,129736000.0,,155538000.0,946500000.0,946500000.0,,3604290000.0,3604290000.0,517556000.0,2712794000.0,2712794000.0,,9747513000.0,,9747513000.0,3329190000.0,6418323000.0,,,,,22110710000.0,709184000.0,,2713431000.0,,,,,6382000.0,,2913880000.0,,,15767833000.0,15221097000.0,546736000.0,,,2023-09-30,,,,
97565616.0,97565616.0,4253401000.0,5710853000.0,13263714000.0,20680024000.0,7499286000.0,13263714000.0,1034747000.0,16003918000.0,18841981000.0,16086564000.0,82646000.0,16003918000.0,6340000.0,15050351000.0,487828000.0,487828000.0,11021429000.0,4187939000.0,6565000.0,2000000.0,83169000.0,3712970000.0,874907000.0,2838063000.0,130419000.0,6833490000.0,23595000.0,11714000.0,1997883000.0,159840000.0,1838043000.0,467201000.0,205075000.0,2891977000.0,297839000.0,11700000.0,2594138000.0,27107993000.0,12775217000.0,354300000.0,3848000.0,136782000.0,615892000.0,51798000.0,564094000.0,,,533881000.0,2740204000.0,329000.0,2739875000.0,8586473000.0,-4463867000.0,13050340000.0,3210633000.0,152054000.0,4936823000.0,4148849000.0,601981000.0,0.0,14332776000.0,21436000.0,257683000.0,3313268000.0,63388000.0,601987000.0,539721000.0,2108172000.0,21378000.0,354308000.0,2819760000.0,-255365000.0,3075125000.0,7544943000.0,7122238000.0,422705000.0,14176000.0,408529000.0,2023-03-31,,,,
