Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.297227,74754000.0,0.0,0.0,31168000.0,3181000.0,959321000.0,74754000.0,71573000.0,-27223000.0,27223000.0,31168000.0,31168000.0,996783000.0,,,,,31168000.0,31168000.0,0.0,31168000.0,31168000.0,0.0,31168000.0,13182000.0,44350000.0,0.0,-27223000.0,27223000.0,71574000.0,37462000.0,19206000.0,3181000.0,3181000.0,109036000.0,959321000.0,1068357000.0,1068357000.0,2024-03-31
0.0,0.282111,66546000.0,0.0,0.0,31081000.0,3224000.0,1030315000.0,66546000.0,63322000.0,-20027000.0,20027000.0,31081000.0,31081000.0,1058536000.0,259008333.0,259008333.0,0.12,0.12,31081000.0,31081000.0,0.0,31081000.0,31081000.0,0.0,31081000.0,12214000.0,43295000.0,0.0,-20027000.0,20027000.0,63321000.0,28221000.0,9593000.0,3224000.0,3224000.0,91542000.0,1030315000.0,1121857000.0,1121857000.0,2023-12-31
0.0,0.319089,46885000.0,0.0,0.0,7983000.0,5774000.0,1013225000.0,46885000.0,41111000.0,-29387000.0,29387000.0,7983000.0,7983000.0,1045654000.0,266100000.0,266100000.0,0.03,0.03,7983000.0,7983000.0,0.0,7983000.0,7983000.0,0.0,7983000.0,3741000.0,11724000.0,0.0,-29387000.0,29387000.0,41110000.0,32429000.0,2889000.0,5774000.0,5774000.0,73539000.0,1013225000.0,1086764000.0,1086764000.0,2023-09-30
0.0,0.289255,31616000.0,0.0,0.0,6079000.0,150000.0,850327000.0,31616000.0,31466000.0,-22913000.0,22913000.0,6079000.0,6079000.0,879135000.0,303950000.0,303950000.0,0.02,0.02,6079000.0,6079000.0,0.0,6079000.0,6079000.0,0.0,6079000.0,2474000.0,8553000.0,0.0,-22913000.0,22913000.0,31466000.0,28808000.0,14396000.0,150000.0,150000.0,60274000.0,850327000.0,910601000.0,910601000.0,2023-06-30
0.0,0.3,14367000.0,0.0,0.0,1670000.0,5868000.0,985286000.0,14367000.0,8499000.0,-7702000.0,6957000.0,1670000.0,1670000.0,1025151000.0,,,,,1670000.0,1670000.0,0.0,1670000.0,1670000.0,,1670000.0,-127000.0,1542000.0,0.0,-7702000.0,6957000.0,9036000.0,39865000.0,-27437000.0,5868000.0,5868000.0,48901000.0,985286000.0,1034187000.0,1034187000.0,2023-03-31
,,,,,,,,,,,,,,,258133333.0,258133333.0,0.09,0.09,,,,,,0.0,,,,,,,,,,,,,,,,2022-12-31
0.0,0.321675,67911000.0,0.0,0.0,30741000.0,150000.0,986681000.0,67911000.0,67761000.0,-22442000.0,22442000.0,30741000.0,30741000.0,1026550000.0,256175000.0,256175000.0,0.12,0.12,30741000.0,30741000.0,0.0,30741000.0,30741000.0,0.0,30741000.0,14578000.0,45319000.0,0.0,-22442000.0,22442000.0,67760000.0,39869000.0,25763000.0,150000.0,150000.0,107629000.0,986681000.0,1094310000.0,1094310000.0,2024-06-30 00:00:00
