Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Derivative Product Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Financial Assets,Financial Assets Designatedas Fair Value Through Profitor Loss Total
,296163369.0,296163369.0,20706000000.0,185094000000.0,200579000000.0,131032000000.0,185094000000.0,20299000000.0,200172000000.0,200172000000.0,200264000000.0,92000000.0,200172000000.0,1000000.0,182919000000.0,,296000000.0,296000000.0,75366000000.0,17934000000.0,,187000000.0,17272000000.0,17272000000.0,,157000000.0,57432000000.0,14126000000.0,3434000000.0,3027000000.0,407000000.0,,8486000000.0,16499000000.0,,,1560000000.0,14939000000.0,275630000000.0,87166000000.0,1948000000.0,,,2250000000.0,24617000000.0,24617000000.0,15078000000.0,3151000000.0,11927000000.0,40237000000.0,,40237000000.0,4669000000.0,35568000000.0,,,,,188464000000.0,19533000000.0,,,,,30000000.0,13261000000.0,251000000.0,57060000000.0,,,98329000000.0,80129000000.0,18200000000.0,,,2024-03-31,,,,
2196.0,295971102.0,295973298.0,16723000000.0,172056000000.0,189132000000.0,128795000000.0,172056000000.0,14989000000.0,187398000000.0,187398000000.0,187484000000.0,86000000.0,187398000000.0,1000000.0,171920000000.0,,296000000.0,296000000.0,67392000000.0,13412000000.0,,173000000.0,12709000000.0,12709000000.0,,151000000.0,53980000000.0,13031000000.0,4014000000.0,2280000000.0,1734000000.0,,7867000000.0,18903000000.0,,,1364000000.0,17539000000.0,254876000000.0,72101000000.0,2256000000.0,,,3275000000.0,16141000000.0,16141000000.0,15342000000.0,3309000000.0,12033000000.0,32541000000.0,,32541000000.0,2429000000.0,30112000000.0,,,,,182775000000.0,19411000000.0,,,,,37000000.0,10756000000.0,263000000.0,60835000000.0,,,91473000000.0,76173000000.0,15300000000.0,,,2023-12-31,,,,
7915.0,295905848.0,295913763.0,17421000000.0,165311000000.0,182088000000.0,125300000000.0,165311000000.0,15979000000.0,180646000000.0,180646000000.0,180727000000.0,81000000.0,180646000000.0,,165800000000.0,,296000000.0,296000000.0,70054000000.0,14542000000.0,,154000000.0,13632000000.0,13632000000.0,,377000000.0,55512000000.0,11640000000.0,3789000000.0,2347000000.0,1442000000.0,,8374000000.0,18220000000.0,,,1939000000.0,16281000000.0,250781000000.0,69969000000.0,1968000000.0,,,3240000000.0,14235000000.0,14235000000.0,15335000000.0,3491000000.0,11844000000.0,32862000000.0,,32862000000.0,1312000000.0,31550000000.0,,,,,180812000000.0,20247000000.0,,,,,35000000.0,13068000000.0,191000000.0,66346000000.0,,,80925000000.0,66279000000.0,14646000000.0,,,2023-09-30,,,,
26601.0,295861311.0,295887912.0,15786000000.0,166522000000.0,183117000000.0,129026000000.0,166522000000.0,14497000000.0,181828000000.0,181828000000.0,181902000000.0,74000000.0,181828000000.0,,166016000000.0,,296000000.0,296000000.0,65308000000.0,12970000000.0,,161000000.0,12203000000.0,12203000000.0,,374000000.0,52338000000.0,11202000000.0,3583000000.0,2294000000.0,1289000000.0,,8590000000.0,18815000000.0,,,3149000000.0,15666000000.0,247210000000.0,65846000000.0,2142000000.0,,,2564000000.0,12691000000.0,12691000000.0,15306000000.0,3422000000.0,11884000000.0,30838000000.0,,30838000000.0,520000000.0,30318000000.0,,,,,181364000000.0,20818000000.0,,,,,39000000.0,17604000000.0,2000000.0,56683000000.0,,,86218000000.0,71148000000.0,15070000000.0,,,2023-06-30,,,,
16058.0,295806721.0,295822779.0,15412000000.0,150469000000.0,167174000000.0,117032000000.0,150469000000.0,14159000000.0,165921000000.0,165921000000.0,165992000000.0,71000000.0,165921000000.0,4839000000.0,154501000000.0,4033000000.0,296000000.0,296000000.0,68969000000.0,14143000000.0,1773000000.0,147000000.0,11872000000.0,11872000000.0,,350000000.0,54826000000.0,12070000000.0,3540000000.0,2287000000.0,1253000000.0,14009000000.0,8134000000.0,23412000000.0,8722000000.0,45000000.0,1707000000.0,12938000000.0,234961000000.0,63103000000.0,2018000000.0,2563000000.0,257000000.0,3809000000.0,7165000000.0,7165000000.0,15452000000.0,3560000000.0,11892000000.0,30362000000.0,-18420000000.0,48782000000.0,8126000000.0,12539000000.0,21060000000.0,7024000000.0,33000000.0,0.0,171858000000.0,21012000000.0,968000000.0,303000000.0,173000000.0,6586000000.0,33000000.0,30861000000.0,0.0,56234000000.0,-1655000000.0,57889000000.0,76636000000.0,47489000000.0,29147000000.0,5931000000.0,23216000000.0,2023-03-31,,,,
20195.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-31,,,,
90359.0,296073010.0,296163369.0,23025000000.0,184725000000.0,199995000000.0,127333000000.0,184725000000.0,22618000000.0,199588000000.0,199588000000.0,199697000000.0,109000000.0,199588000000.0,2000000.0,180934000000.0,,296000000.0,296000000.0,75396000000.0,20215000000.0,,202000000.0,19636000000.0,19636000000.0,,164000000.0,55181000000.0,14650000000.0,3389000000.0,2982000000.0,407000000.0,,8963000000.0,17549000000.0,,,2583000000.0,14966000000.0,275093000000.0,92579000000.0,2027000000.0,,,1903000000.0,27192000000.0,27192000000.0,14863000000.0,2963000000.0,11900000000.0,43532000000.0,,43532000000.0,5746000000.0,37786000000.0,,,,,182514000000.0,19014000000.0,,,,,31000000.0,13594000000.0,54000000.0,54980000000.0,,,94841000000.0,79695000000.0,15146000000.0,1338000000.0,13808000000.0,2024-06-30 00:00:00,,,,
58482.0,296125432.0,296183914.0,23256000000.0,195871000000.0,210908000000.0,138251000000.0,195871000000.0,23096000000.0,210748000000.0,210748000000.0,210871000000.0,123000000.0,210748000000.0,,193443000000.0,,296000000.0,296000000.0,76740000000.0,20711000000.0,,239000000.0,19780000000.0,19780000000.0,,172000000.0,56029000000.0,14854000000.0,3476000000.0,3316000000.0,160000000.0,,9706000000.0,16999000000.0,,,2279000000.0,14720000000.0,287611000000.0,93331000000.0,2795000000.0,,,2616000000.0,25280000000.0,25280000000.0,14877000000.0,2749000000.0,12128000000.0,44601000000.0,,44601000000.0,4978000000.0,39623000000.0,,,,,194280000000.0,19148000000.0,,,,,32000000.0,12297000000.0,290000000.0,60911000000.0,,,101602000000.0,85209000000.0,16393000000.0,,,2024-09-30 00:00:00,,,,
