Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
46403784.0,46403784.0,544406000.0,558872000.0,467222000.0,1157527000.0,10216000.0,467222000.0,9809000.0,608464000.0,765378000.0,606254000.0,-2210000.0,608464000.0,,,,232019000.0,232019000.0,1098525000.0,164776000.0,-1000.0,,156914000.0,156914000.0,7863000.0,933749000.0,32256000.0,401958000.0,9809000.0,392149000.0,,866000.0,463197000.0,,463197000.0,1704779000.0,760814000.0,282220000.0,,45095000.0,19893000.0,19893000.0,141242000.0,,131985000.0,,131985000.0,,131985000.0,,,,943965000.0,119649000.0,,,689242000.0,,,135074000.0,130417000.0,4657000.0,,2024-03-31
46403784.0,46403784.0,567189000.0,583810000.0,425190000.0,1141704000.0,-130266000.0,425190000.0,12605000.0,570499000.0,747758000.0,568276000.0,-2223000.0,570499000.0,1000.0,,,232019000.0,232019000.0,997171000.0,185708000.0,-1000.0,,177259000.0,177259000.0,8450000.0,811463000.0,16144000.0,406551000.0,12605000.0,393946000.0,,921000.0,352953000.0,,352953000.0,1565447000.0,884250000.0,278788000.0,,45198000.0,22707000.0,22707000.0,145309000.0,,137994000.0,,137994000.0,6000.0,137988000.0,,,,681197000.0,60007000.0,,,495165000.0,,,126025000.0,122009000.0,4016000.0,,2023-09-30
46403784.0,46403784.0,567750000.0,608782000.0,486998000.0,1238806000.0,-99152000.0,486998000.0,10924000.0,640948000.0,796419000.0,640948000.0,0.0,640948000.0,,144770000.0,261021000.0,232019000.0,232019000.0,931513000.0,162885000.0,,7414000.0,155471000.0,155471000.0,7414000.0,768628000.0,150000.0,453311000.0,10924000.0,442387000.0,841000.0,841000.0,301129000.0,28943000.0,272186000.0,1572461000.0,902985000.0,287762000.0,266239000.0,45129000.0,13870000.0,13870000.0,153950000.0,153950000.0,152695000.0,-35440000.0,188135000.0,622000.0,10799000.0,52019000.0,124695000.0,0.0,669476000.0,-153000.0,152497000.0,574000.0,486285000.0,-116269000.0,602554000.0,30273000.0,165000.0,30108000.0,30108000.0,2023-03-31
