Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Other Receivables,Taxes Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number,Non Current Pension And Other Postretirement Benefit Plans,Pensionand Other Post Retirement Benefit Plans Current,Current Deferred Taxes Assets
159376967.0,159376967.0,207337200000.0,218410100000.0,60777100000.0,284109900000.0,262181800000.0,60777100000.0,,65699800000.0,284109900000.0,65699800000.0,,65699800000.0,64106000000.0,,,1593800000.0,1593800000.0,222761800000.0,220198300000.0,248600000.0,,218410100000.0,,218410100000.0,474600000.0,2563500000.0,,,,,,2563500000.0,2198300000.0,0.0,365200000.0,288461600000.0,23716300000.0,242500000.0,1369200000.0,365500000.0,15602900000.0,15602900000.0,,4922700000.0,1165900000.0,3756800000.0,1213500000.0,,1213500000.0,1213500000.0,,,,,264745300000.0,,,,251049900000.0,556300000.0,13139100000.0,2066200000.0,11072900000.0,,,2024-03-31,,,,
159247490.0,159247490.0,163905800000.0,176685600000.0,53012100000.0,234663000000.0,219851100000.0,53012100000.0,,57977400000.0,234663000000.0,57977400000.0,,57977400000.0,56386300000.0,,,1591100000.0,1591100000.0,181559200000.0,178167800000.0,189700000.0,,176685600000.0,,176685600000.0,421000000.0,3391400000.0,,,,,,3391400000.0,2467800000.0,323300000.0,600300000.0,239536600000.0,16295000000.0,247300000.0,919500000.0,362700000.0,8780000000.0,8780000000.0,,4965300000.0,1208500000.0,3756800000.0,1020200000.0,,1020200000.0,1020200000.0,,,,,223242500000.0,,,,208800900000.0,358600000.0,14083000000.0,1303200000.0,12779800000.0,,,2023-09-30,,,,
158906443.0,158906443.0,149708500000.0,163907700000.0,46008000000.0,214192000000.0,42927600000.0,46008000000.0,785100000.0,51069400000.0,134596000000.0,51069400000.0,,51069400000.0,194100000.0,18551000000.0,24785900000.0,1589100000.0,1589100000.0,167511200000.0,84459000000.0,190900000.0,5600000.0,84194600000.0,668000000.0,83526600000.0,260500000.0,83052200000.0,789000000.0,79713100000.0,117100000.0,79596000000.0,105600000.0,3042600000.0,2596500000.0,5600000.0,440500000.0,218580600000.0,92601100000.0,4900000.0,809300000.0,316300000.0,4831300000.0,286000000.0,4545300000.0,5061400000.0,1304600000.0,3756800000.0,968200000.0,-1011600000.0,1979800000.0,12600000.0,1508900000.0,400200000.0,58100000.0,0.0,125979800000.0,186300000.0,316300000.0,950200000.0,110219300000.0,,14624000000.0,1209900000.0,13414100000.0,11179600000.0,2234500000.0,2023-03-31,,,,
156170732.0,156170732.0,125714000000.0,136539000000.0,41455000000.0,181713000000.0,,41455000000.0,804000000.0,45978000000.0,181713000000.0,47066000000.0,1088000000.0,45978000000.0,,,,,,139684000000.0,139683000000.0,,,136539000000.0,804000000.0,135735000000.0,,,,,,,,,,,,186750000000.0,12706000000.0,,,,7203000000.0,7203000000.0,,4523000000.0,1347000000.0,3176000000.0,980000000.0,,980000000.0,980000000.0,,,,,174044000000.0,,,,164023000000.0,,10021000000.0,,10021000000.0,,10021000000.0,2022-12-31,,,,
