Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,16762850.0,16762850.0,1048100000.0,5741400000.0,8285400000.0,2903100000.0,5741400000.0,742900000.0,7980200000.0,7980200000.0,8112500000.0,132300000.0,7980200000.0,7812500000.0,,,167700000.0,167700000.0,11256200000.0,1916200000.0,42200000.0,1327900000.0,,18900000.0,523100000.0,523100000.0,9340000000.0,3299500000.0,525000000.0,219800000.0,305200000.0,829300000.0,616600000.0,,,616600000.0,19368700000.0,7125600000.0,44400000.0,,,80100000.0,1312600000.0,1312600000.0,2238800000.0,506100000.0,1732700000.0,801900000.0,,801900000.0,801900000.0,,,,12243100000.0,367800000.0,,,2164500000.0,,4495800000.0,,,5215000000.0,3536000000.0,1679000000.0,,2024-03-31
6050.0,16762850.0,16768900.0,1012500000.0,5120600000.0,7646200000.0,2917500000.0,5120600000.0,784400000.0,7418100000.0,7418100000.0,7543800000.0,125700000.0,7418100000.0,7250400000.0,,,167700000.0,167700000.0,10041700000.0,1947700000.0,42200000.0,1224300000.0,,31000000.0,578700000.0,578700000.0,8094000000.0,2835800000.0,433800000.0,205700000.0,228100000.0,753900000.0,496700000.0,,,496700000.0,17585500000.0,6574000000.0,32900000.0,,,78700000.0,1216400000.0,1216400000.0,2297500000.0,564800000.0,1732700000.0,864300000.0,,864300000.0,864300000.0,,,,11011500000.0,340700000.0,,,2320800000.0,,3989600000.0,,,4360400000.0,3236600000.0,1123800000.0,,2023-09-30
8466.0,17088303.0,17096769.0,1001200000.0,5751839000.0,8269677000.0,3414276000.0,5751839000.0,807770000.0,8076247000.0,8076247000.0,8204810000.0,128563000.0,8076247000.0,40933000.0,5375534000.0,2488812000.0,170968000.0,170968000.0,9473035000.0,1906985000.0,42190000.0,1162244000.0,101462000.0,37863000.0,605416000.0,605416000.0,7566050000.0,421634000.0,395784000.0,202354000.0,193430000.0,740846000.0,5938821000.0,4230958000.0,1259965000.0,447898000.0,17677845000.0,6697519000.0,27514000.0,1043594000.0,114571000.0,67515000.0,31300000.0,31300000.0,2324408000.0,591742000.0,1732666000.0,877992000.0,-742787000.0,1620779000.0,877992000.0,222760000.0,1398019000.0,0.0,10980326000.0,1171000.0,106314000.0,346479000.0,2436253000.0,0.0,3802730000.0,-88962000.0,3891692000.0,4287379000.0,2792875000.0,1494504000.0,1494504000.0,2023-03-31
